A.L.E: Arcade Learning Environment (version 0.11.2+ecc1138)
[Powered by Stella]
Episode   79/500 | return=-20.00 | len= 838 | eps=0.799 | loss=0.02523
Episode   80/500 | return=-21.00 | len= 764 | eps=0.797 | loss=0.02605
Episode   81/500 | return=-21.00 | len= 792 | eps=0.795 | loss=0.02514
Episode   82/500 | return=-21.00 | len= 904 | eps=0.793 | loss=0.02237
Episode   83/500 | return=-20.00 | len= 962 | eps=0.790 | loss=0.02197
Episode   84/500 | return=-21.00 | len= 811 | eps=0.788 | loss=0.02466
Episode   85/500 | return=-21.00 | len= 948 | eps=0.786 | loss=0.02135
Episode   86/500 | return=-21.00 | len= 822 | eps=0.784 | loss=0.02427
Episode   87/500 | return=-21.00 | len= 812 | eps=0.781 | loss=0.02464
Episode   88/500 | return=-20.00 | len= 960 | eps=0.779 | loss=0.02203
Episode   89/500 | return=-21.00 | len= 942 | eps=0.777 | loss=0.02126
Episode   90/500 | return=-21.00 | len= 783 | eps=0.775 | loss=0.02536
Episode   91/500 | return=-20.00 | len=1019 | eps=0.773 | loss=0.02036
Episode   92/500 | return=-20.00 | len= 838 | eps=0.771 | loss=0.02519
Episode   93/500 | return=-21.00 | len= 873 | eps=0.768 | loss=0.02289
Episode   94/500 | return=-20.00 | len=1007 | eps=0.766 | loss=0.02084
Episode   95/500 | return=-21.00 | len= 852 | eps=0.764 | loss=0.02362
Episode   96/500 | return=-21.00 | len= 824 | eps=0.762 | loss=0.02415
Episode   97/500 | return=-20.00 | len= 975 | eps=0.760 | loss=0.02134
Episode   98/500 | return=-21.00 | len= 884 | eps=0.758 | loss=0.02247
Episode   99/500 | return=-21.00 | len= 824 | eps=0.756 | loss=0.02426
Episode  100/500 | return=-19.00 | len=1042 | eps=0.753 | loss=0.02139
  Eval over 5 eps: mean_return=-21.00 ± 0.00
Episode  101/500 | return=-21.00 | len= 901 | eps=0.751 | loss=0.02228
Episode  102/500 | return=-21.00 | len= 764 | eps=0.749 | loss=0.02611
Episode  103/500 | return=-21.00 | len= 764 | eps=0.747 | loss=0.02645
Episode  104/500 | return=-21.00 | len=1022 | eps=0.745 | loss=0.01949
Episode  105/500 | return=-21.00 | len= 852 | eps=0.743 | loss=0.02333
Episode  106/500 | return=-21.00 | len= 904 | eps=0.741 | loss=0.02198
Episode  107/500 | return=-21.00 | len= 764 | eps=0.739 | loss=0.02626
