#{"t_start": 1764983017.9507918, "env_id": "ALE/Pong-v5"}
r,l,t
-21.0,852,3.047296
-21.0,839,4.179964
-20.0,930,5.549607
-21.0,824,6.758039
-21.0,764,7.803626
-21.0,764,8.909781
-21.0,824,10.158018
-21.0,824,11.478733
-21.0,1005,12.916116
-21.0,813,14.235777
-19.0,957,15.752303
-20.0,1047,15.882838
-21.0,1083,17.613153
-21.0,966,19.128314
-21.0,835,23.250448
-21.0,912,27.880944
-21.0,783,31.751335
-21.0,764,35.563908
-21.0,824,39.565378
-21.0,792,43.30384
-21.0,783,47.234083
-20.0,981,50.605279
-21.0,883,54.908553
-21.0,902,59.249925
-21.0,891,63.638455
-20.0,1029,68.606599
-21.0,854,72.812297
-19.0,1167,78.340023
-21.0,914,81.286902
-21.0,974,85.806917
-21.0,862,89.950175
-19.0,1118,95.311245
-21.0,826,99.266191
-21.0,852,103.372579
-21.0,1024,108.3248
-20.0,944,111.453019
-20.0,870,115.641883
-21.0,851,119.819321
-21.0,855,123.969872
-21.0,764,127.747192
-21.0,861,131.929188
-21.0,792,135.845249
-21.0,824,139.812732
-21.0,910,142.837681
-21.0,912,147.241416
-21.0,938,151.77556
-21.0,912,156.281617
-21.0,854,160.380314
-20.0,837,164.49081
-20.0,922,168.966657
-21.0,783,171.438749
-21.0,906,175.874149
-21.0,825,179.981806
-21.0,783,183.701491
-21.0,824,187.690694
-21.0,912,192.160837
-21.0,845,196.228915
-21.0,950,200.658097
-21.0,1058,204.28013
-21.0,898,208.568096
-21.0,843,212.559423
-21.0,960,217.167529
-20.0,1022,222.063965
-21.0,764,225.740071
-21.0,1069,230.871171
-21.0,853,233.640895
-21.0,933,238.194388
-21.0,945,242.799307
-21.0,764,246.496651
-21.0,826,250.571841
-20.0,921,255.193781
-21.0,871,259.448872
-21.0,964,262.714388
-21.0,825,266.819831
-21.0,895,271.436552
-21.0,764,275.294711
-20.0,945,280.101724
-19.0,962,285.206413
-20.0,1010,290.174958
-21.0,884,293.050535
-18.0,1215,299.065026
-21.0,810,303.100765
-21.0,880,307.413923
-20.0,1148,313.165754
-21.0,906,317.673897
-21.0,1061,322.895789
-21.0,977,326.254535
-21.0,824,330.337633
-21.0,1025,335.37815
-21.0,884,339.719325
-21.0,941,344.528486
-20.0,1080,349.99376
-20.0,879,354.319245
-19.0,1079,358.24494
-21.0,902,362.611321
-20.0,1010,367.575154
-21.0,912,372.129129
-20.0,1070,377.479702
-21.0,977,382.330132
-20.0,957,385.583431
-21.0,884,389.997611
-21.0,852,394.09045
-21.0,941,399.03727
-21.0,988,403.83082
-21.0,852,407.901922
-21.0,783,411.741935
-21.0,930,416.326925
-20.0,951,419.511471
-21.0,914,423.99236
-21.0,1208,430.018344
-17.0,1191,435.825075
-21.0,882,440.251874
-20.0,865,444.509749
-21.0,854,447.293184
-20.0,1076,452.990848
-21.0,993,458.118966
-17.0,1188,464.294799
-21.0,1052,469.609475
-20.0,1062,475.265952
-20.0,1127,479.783643
-20.0,903,484.55488
-21.0,839,488.975177
-20.0,939,493.629955
-21.0,947,498.294502
-21.0,886,502.721453
-21.0,904,507.308868
-20.0,1233,512.079017
-20.0,940,516.796177
-20.0,1143,522.555228
-21.0,886,527.333371
-21.0,972,532.70297
-20.0,957,537.480174
-21.0,972,540.844287
-21.0,994,545.911235
-21.0,941,550.662819
-21.0,1051,555.889206
-21.0,854,560.301652
-21.0,764,564.332544
-21.0,824,568.478341
-20.0,949,571.792321
-20.0,951,576.691534
-21.0,1268,583.787353
-18.0,1128,589.44516
-21.0,912,593.915914
-21.0,960,598.646223
-20.0,1171,603.104905
-21.0,764,606.875569
-20.0,940,611.571634
-21.0,975,616.391716
-20.0,1069,621.746851
-21.0,880,626.134256
-21.0,1067,631.437239
-20.0,1015,635.048766
-21.0,881,639.427966
-20.0,985,644.374058
-21.0,824,648.459943
-21.0,1009,653.558736
-21.0,944,658.247317
-20.0,1067,663.657973
-19.0,1360,668.923907
-20.0,1159,674.649048
-19.0,1147,680.425796
-21.0,884,684.823477
-21.0,1010,689.863565
-21.0,923,693.493942
-21.0,912,699.598877
-20.0,1096,705.729029
-20.0,1168,711.948193
-20.0,1305,718.680714
-21.0,1002,723.704374
-18.0,1122,727.982193
-18.0,1152,733.744948
-20.0,982,738.810351
-21.0,842,742.968826
-18.0,1081,748.27663
-21.0,960,753.185025
-19.0,1016,756.794591
-21.0,941,761.523648
-20.0,1062,766.849621
-19.0,1145,772.615796
-20.0,1097,778.12277
-20.0,957,782.882444
-18.0,1182,787.346731
-19.0,1299,793.922246
-18.0,1154,799.78287
-18.0,1137,805.453515
-21.0,1112,810.931273
-21.0,886,815.301145
-19.0,1242,820.052868
-20.0,1170,825.80012
-19.0,1096,831.285416
-19.0,1332,838.23492
-21.0,942,843.027634
-20.0,1079,848.387166
-20.0,1065,852.305331
-20.0,1151,858.083444
-21.0,961,862.934501
-18.0,1109,868.50397
-21.0,900,872.897893
-18.0,1153,879.186003
-20.0,1176,883.746259
-19.0,1242,890.00059
-21.0,947,894.778106
-20.0,1199,900.691446
