#{"t_start": 1764983017.8911288, "env_id": "ALE/Pong-v5"}
r,l,t
-21.0,764,2.904975
-21.0,946,4.305198
-21.0,826,5.468567
-21.0,885,6.816907
-21.0,826,7.960043
-21.0,887,9.221189
-21.0,793,10.386292
-21.0,852,11.712458
-21.0,870,12.998822
-21.0,853,14.377537
-21.0,941,15.878858
-21.0,764,15.597756
-21.0,792,16.845901
-21.0,842,18.076874
-21.0,811,19.337454
-21.0,764,23.554194
-21.0,782,27.583731
-21.0,764,31.283512
-20.0,842,35.374912
-21.0,824,39.295325
-21.0,764,42.90209
-21.0,900,47.403453
-21.0,985,50.7468
-21.0,881,54.882135
-21.0,1015,59.873754
-21.0,764,63.614176
-21.0,764,67.389598
-20.0,1044,72.521501
-19.0,1025,77.383014
-21.0,881,80.106037
-21.0,942,84.622371
-21.0,824,88.535951
-21.0,824,92.430246
-21.0,902,96.704995
-21.0,883,100.902438
-20.0,1059,106.068892
-20.0,889,108.83332
-21.0,782,112.559168
-21.0,801,116.460415
-21.0,884,120.724014
-21.0,848,124.905195
-20.0,942,129.537909
-21.0,871,133.860347
-21.0,811,137.821705
-21.0,824,140.326381
-21.0,792,144.200639
-21.0,764,147.916783
-20.0,1034,152.933212
-21.0,852,157.096589
-21.0,888,161.460805
-20.0,1090,166.733151
-21.0,783,170.498547
-20.0,950,173.849929
-21.0,853,177.958956
-21.0,913,182.414833
-21.0,918,186.786772
-21.0,862,190.871477
-21.0,839,194.80635
-21.0,825,198.651319
-21.0,898,201.515617
-21.0,864,205.674924
-21.0,884,209.877764
-21.0,885,214.143912
-20.0,983,218.931937
-21.0,948,223.533391
-21.0,824,227.511811
-20.0,1241,232.030381
-21.0,914,236.535024
-21.0,826,240.540216
-21.0,904,245.059
-21.0,824,249.036427
-20.0,906,253.500774
-21.0,824,257.564809
-18.0,1185,261.981241
-20.0,923,266.527206
-21.0,972,271.472841
-21.0,764,275.36771
-21.0,944,280.058569
-21.0,812,284.284466
-21.0,933,288.952213
-21.0,1063,294.10572
-21.0,943,297.265193
-21.0,824,301.286126
-21.0,916,305.849914
-21.0,853,310.061716
-20.0,940,314.654417
-21.0,881,318.951668
