#{"t_start": 1764983017.9606566, "env_id": "ALE/Pong-v5"}
r,l,t
-20.0,921,3.134982
-21.0,793,4.278386
-19.0,1046,5.812307
-21.0,964,7.226687
-21.0,845,8.392433
-21.0,826,9.576123
-21.0,890,10.967785
-20.0,1051,12.464925
-21.0,852,13.845568
-21.0,824,15.044504
-21.0,912,16.456432
-21.0,965,16.587194
-21.0,913,17.902092
-21.0,852,19.266608
-20.0,907,24.239383
-20.0,921,28.948705
-21.0,764,32.731345
-21.0,872,37.063907
-21.0,910,41.388867
-21.0,764,45.31045
-21.0,764,47.553205
-21.0,826,51.519188
-21.0,764,55.12622
-21.0,764,58.829938
-21.0,764,62.476991
-21.0,870,66.696856
-21.0,764,70.452919
-21.0,830,74.45162
-21.0,811,76.908154
-20.0,981,81.617586
-20.0,915,85.884643
-21.0,1026,90.81693
-21.0,812,94.665972
-21.0,840,98.637007
-20.0,956,103.338285
-21.0,853,107.404042
-18.0,1121,111.359113
-21.0,764,114.978709
-21.0,852,119.095292
-21.0,882,123.457397
-21.0,764,127.283045
-21.0,1018,132.258814
-21.0,792,136.219203
-20.0,925,139.266997
-21.0,782,143.159557
-21.0,764,146.842032
-21.0,822,150.833309
-21.0,905,155.22471
-21.0,852,159.322131
-21.0,792,163.238582
-21.0,824,167.291546
-21.0,887,170.255154
-21.0,992,175.140816
-21.0,948,179.729339
-20.0,1043,184.776512
-20.0,988,189.531974
-21.0,871,193.685973
-21.0,792,197.507539
-20.0,902,200.362282
-21.0,825,204.359535
-21.0,842,208.3213
-20.0,992,213.054226
-21.0,886,217.33048
-21.0,1021,222.286825
-21.0,764,225.968548
-21.0,764,229.687609
-17.0,1172,233.878728
-21.0,912,238.292101
-21.0,882,242.554469
-21.0,792,246.485722
-21.0,792,250.382623
-21.0,903,254.984274
-21.0,884,259.334681
-21.0,844,262.00456
-21.0,973,266.717422
-21.0,853,271.067226
-21.0,829,275.414742
-21.0,824,279.399763
-21.0,854,283.857643
-21.0,825,287.928072
-21.0,940,292.571575
-21.0,862,295.3715
-20.0,945,300.029152
-19.0,952,304.829837
-19.0,1056,310.013449
-21.0,999,314.993354
-21.0,764,318.802496
-21.0,972,323.587104
-21.0,943,326.813817
-21.0,852,330.969703
-21.0,935,335.553176
-21.0,853,339.802918
-21.0,853,344.032642
-21.0,881,348.46988
-21.0,974,353.250601
-21.0,822,355.992053
-20.0,969,360.841638
-20.0,1157,366.488284
-20.0,1065,371.749405
-21.0,968,376.500949
-21.0,792,380.417407
-21.0,886,384.845271
-21.0,1084,388.704587
-21.0,884,393.010004
-21.0,945,398.025728
-21.0,903,402.423476
-21.0,885,406.77552
-21.0,844,410.872998
-21.0,887,415.211195
-21.0,852,418.007523
-21.0,941,422.504416
-21.0,764,426.319833
-21.0,966,431.106126
-21.0,1034,436.211789
-20.0,889,440.581878
-21.0,914,445.123694
-20.0,992,448.708186
-18.0,1095,454.356143
-21.0,1092,459.986429
-21.0,853,464.456667
-20.0,1238,470.651021
-21.0,1005,476.200065
