#{"t_start": 1764983017.9035804, "env_id": "ALE/Pong-v5"}
r,l,t
-21.0,802,2.946789
-21.0,903,4.254977
-19.0,999,5.754866
-21.0,764,6.881703
-21.0,920,8.187249
-20.0,856,9.438093
-21.0,792,10.640031
-21.0,965,12.113628
-21.0,843,13.482633
-21.0,885,14.77438
-21.0,764,15.968408
-20.0,1042,16.191159
-21.0,853,17.42023
-21.0,783,18.710774
-20.0,1043,22.68571
-21.0,764,26.534706
-21.0,945,31.296247
-21.0,826,35.361966
-21.0,873,39.642335
-20.0,902,44.157266
-21.0,931,47.313015
-21.0,972,51.972792
-21.0,764,55.594146
-21.0,802,59.454741
-21.0,880,63.797718
-21.0,924,68.26062
-21.0,826,72.367577
-21.0,793,76.208719
-20.0,929,79.321148
-21.0,885,83.513953
-21.0,853,87.574842
-21.0,868,91.781088
-21.0,880,95.971193
-21.0,782,99.688926
-19.0,1072,104.73477
-19.0,1017,108.26791
-21.0,884,112.455316
-21.0,792,116.262353
-21.0,764,119.791647
-21.0,764,123.53424
-21.0,792,127.507276
-21.0,898,131.897038
-21.0,782,135.786145
-20.0,870,138.588924
-21.0,856,142.714365
-21.0,951,147.378021
-21.0,764,151.08371
-21.0,913,155.540844
-21.0,881,159.879896
-20.0,1051,165.170598
-21.0,854,169.2633
-20.0,957,172.535226
-20.0,870,176.730504
-21.0,852,180.970833
-19.0,1105,186.427392
-21.0,764,190.091346
-21.0,912,194.449694
-21.0,900,198.806842
-21.0,1055,202.453662
-21.0,919,206.844967
-21.0,873,211.040878
-21.0,881,215.237403
-21.0,972,219.918242
-21.0,882,224.251367
-21.0,950,228.850593
-21.0,885,231.691373
-21.0,884,236.009657
-21.0,901,240.261701
-21.0,764,243.939864
-21.0,881,248.307863
-21.0,880,252.589877
-21.0,802,256.588631
-21.0,849,260.676898
-21.0,824,263.235851
-21.0,885,267.505675
-20.0,1097,273.162437
-21.0,783,277.178654
-21.0,884,281.651646
-19.0,1199,287.802905
-21.0,903,292.223841
-21.0,871,294.98085
-21.0,885,299.275116
-21.0,861,303.48767
-21.0,973,308.352304
-21.0,887,312.719836
-21.0,947,317.440264
-21.0,884,321.708206
-19.0,1097,325.722768
-20.0,1002,330.7841
-21.0,853,335.025862
-21.0,1031,340.276733
-21.0,1062,345.623191
-20.0,1075,351.097841
-21.0,1001,354.754272
-20.0,947,359.359016
-20.0,1102,364.881587
-21.0,886,369.252041
-21.0,764,373.036893
-21.0,783,376.845523
-20.0,904,381.290071
-21.0,824,385.30809
-21.0,864,388.053406
-21.0,764,391.789722
-20.0,1066,397.365191
-21.0,1022,402.312849
-20.0,1052,407.466211
-21.0,885,411.761512
-21.0,1020,416.705693
-21.0,922,419.809033
-21.0,885,424.192242
-20.0,1049,429.352387
-19.0,1061,434.599091
-21.0,974,439.428642
-21.0,946,444.144841
-21.0,1113,448.309943
-21.0,886,453.038309
-21.0,783,457.029511
-20.0,1234,463.455858
-21.0,1006,468.698444
-20.0,1370,475.978424
-21.0,903,479.255756
-21.0,1056,484.891426
-21.0,926,489.753861
-20.0,1038,494.882393
-21.0,884,499.25933
-21.0,1175,505.28271
-19.0,1211,509.819519
-20.0,939,514.488597
-21.0,1174,520.288465
-21.0,1009,525.597934
-21.0,1064,531.570466
-21.0,1249,537.943839
-21.0,824,540.715356
-21.0,1026,545.85548
-21.0,1006,551.058597
-21.0,912,555.665798
-21.0,913,560.347674
-21.0,1067,566.036235
-21.0,792,570.020966
-19.0,1197,574.540744
-21.0,1004,580.037855
-20.0,1223,586.553438
-20.0,992,591.441793
-21.0,977,596.292084
-21.0,1052,601.525124
-20.0,1119,605.717118
-20.0,1108,611.278645
-21.0,888,615.716347
-20.0,898,620.241114
-20.0,1117,625.677921
-21.0,884,630.016383
-20.0,837,632.70874
-20.0,1043,637.898193
-21.0,976,642.795064
-21.0,852,647.132862
-21.0,1004,652.147401
-21.0,942,656.899589
-21.0,897,661.341032
-21.0,995,664.918456
-18.0,1209,670.948086
-21.0,1034,676.139282
-20.0,837,680.211557
-21.0,1083,685.633662
-21.0,1056,690.911438
-19.0,1114,696.392848
-21.0,871,701.659324
-20.0,1186,708.047724
-21.0,933,712.876758
-18.0,1161,718.831496
-21.0,1122,724.491639
-21.0,1188,729.013765
-20.0,1028,734.141382
-21.0,914,738.774153
-20.0,1138,744.495305
-21.0,1155,750.264796
-21.0,866,754.644049
-20.0,1131,758.858779
-19.0,965,763.753296
-20.0,951,768.534714
-20.0,1191,774.475786
-19.0,1079,779.96863
-20.0,1186,785.904893
-20.0,993,789.514827
-21.0,1127,795.147456
-21.0,1096,800.691965
-18.0,1313,807.305304
-16.0,1445,814.521914
-21.0,1056,818.407181
-17.0,1249,824.64002
-20.0,1180,830.452994
-20.0,1104,836.079946
-20.0,897,840.749114
-20.0,1147,846.423594
-20.0,906,849.504159
-19.0,1158,855.368109
-20.0,1139,861.116622
-17.0,1424,868.212725
-18.0,1262,874.489532
-19.0,1118,879.171474
-21.0,949,884.048719
-20.0,1310,890.616289
-19.0,1142,896.419094
-20.0,990,901.246922
-21.0,886,905.754731
-19.0,1272,910.668083
-20.0,871,915.211356
-21.0,1021,920.384917
-20.0,966,925.392943
-19.0,1155,931.252818
-19.0,1229,937.900576
-21.0,975,941.466344
-21.0,764,945.650346
-21.0,1080,951.535772
-19.0,1333,958.44048
-19.0,1219,964.6676
-21.0,881,971.371521
-20.0,1165,977.997664
-19.0,1184,984.359661
-17.0,1328,991.344203
-20.0,1023,997.263841
-19.0,1124,1001.75877
-20.0,1311,1008.536764
-18.0,1434,1015.907878
-21.0,946,1020.727091
-19.0,1133,1026.593327
-19.0,1183,1032.67673
-21.0,912,1035.777674
-20.0,1097,1041.504989
-19.0,1096,1047.162056
-19.0,1382,1055.462795
-18.0,1261,1062.287864
-21.0,1215,1067.610948
-19.0,1453,1076.079164
-21.0,1301,1086.028445
-19.0,1246,1094.072902
-19.0,1305,1104.068916
-20.0,1043,1112.400344
-21.0,994,1120.893474
-20.0,1153,1128.775975
-19.0,1047,1137.456025
-19.0,1160,1147.495115
-21.0,1036,1155.267253
-17.0,1528,1166.496378
-19.0,1254,1175.244448
-16.0,1341,1185.258615
-20.0,1005,1193.202483
-20.0,943,1202.371542
-20.0,983,1210.851599
-15.0,1507,1223.402377
-19.0,1163,1233.757337
-19.0,1450,1246.350732
-21.0,1133,1254.606287
-20.0,1192,1264.374719
-14.0,1805,1278.862492
-21.0,1125,1283.310068
-18.0,1154,1289.230139
-19.0,1215,1295.294824
-20.0,1160,1301.057806
-15.0,1407,1308.221753
-21.0,946,1311.607308
-18.0,1253,1317.912507
-21.0,946,1322.718377
-20.0,1053,1328.005468
-17.0,1505,1335.414349
-21.0,961,1340.14917
-18.0,1471,1346.027214
-19.0,1108,1351.635885
-18.0,1171,1357.461208
-18.0,1356,1364.371472
-19.0,1348,1371.175826
-19.0,1312,1376.351332
-18.0,1089,1382.086176
-18.0,1207,1388.543632
-18.0,1214,1394.96342
-16.0,1401,1402.189144
-18.0,1434,1408.272532
-20.0,1179,1414.598462
-20.0,1052,1420.829536
-19.0,1116,1426.937596
