#{"t_start": 1764983017.896959, "env_id": "ALE/Pong-v5"}
r,l,t
-20.0,1072,3.464866
-21.0,853,4.678995
-21.0,883,5.938564
-21.0,764,7.097683
-21.0,932,8.393193
-21.0,945,9.80707
-21.0,870,11.193804
-20.0,967,12.570813
-21.0,942,14.103508
-21.0,824,15.36781
-21.0,811,16.564798
-21.0,850,16.490686
-21.0,824,17.713925
-21.0,903,19.119084
-21.0,947,23.64138
-21.0,764,27.487065
-21.0,792,31.393113
-21.0,942,36.110374
-21.0,933,40.552588
-21.0,764,44.280049
-21.0,825,46.945142
-20.0,1048,52.064816
-20.0,918,56.527891
-21.0,824,60.50506
-21.0,826,64.531335
-21.0,862,68.586491
-19.0,976,73.485616
-21.0,904,77.705986
-21.0,824,80.256565
-21.0,824,84.134346
-21.0,902,88.378481
-21.0,843,92.407222
-21.0,824,96.37337
-21.0,933,100.916287
-20.0,927,105.473703
-21.0,840,107.951988
-21.0,764,111.552768
-21.0,871,115.785824
-21.0,973,120.470682
-21.0,871,124.659327
-21.0,824,128.830037
-21.0,824,132.862705
-21.0,853,137.001528
-21.0,824,139.511428
-20.0,889,143.954013
-21.0,853,148.013182
-21.0,885,152.371283
-21.0,941,156.984673
-21.0,906,161.358484
-19.0,1059,166.53874
-20.0,856,170.650802
-21.0,853,173.413251
-21.0,891,177.756114
-21.0,908,182.149383
-21.0,890,186.461282
-21.0,911,190.867282
-21.0,825,194.777254
-21.0,824,198.721118
-21.0,866,201.351056
-21.0,885,205.59578
-21.0,905,210.029495
-21.0,960,214.738633
-20.0,1066,219.889661
-21.0,966,224.675143
-21.0,1054,229.770377
-21.0,974,233.014022
-21.0,858,237.189566
-20.0,981,241.956455
-21.0,871,246.143133
-21.0,845,250.327014
-21.0,764,254.1321
-21.0,900,258.596405
-21.0,826,262.511186
-21.0,822,265.091738
-21.0,932,269.839469
-19.0,1082,275.501022
-21.0,824,279.643621
-21.0,792,283.798881
-21.0,869,288.086587
-21.0,826,292.125142
-20.0,949,295.345346
-21.0,904,299.760741
-21.0,885,304.076119
-21.0,1006,309.090097
-20.0,949,313.689584
-21.0,824,317.746099
-21.0,1009,322.684655
-20.0,982,326.125067
-20.0,1056,331.465045
-21.0,886,335.856668
-21.0,853,340.131556
-21.0,885,344.678139
-21.0,993,349.682929
-19.0,1092,355.271459
-21.0,839,357.978296
