#{"t_start": 1764983017.9901137, "env_id": "ALE/Pong-v5"}
r,l,t
-20.0,916,3.104327
-21.0,764,4.11579
-21.0,764,5.180194
-21.0,855,6.494955
-20.0,1019,7.972608
-21.0,1066,9.596445
-21.0,873,10.989899
-21.0,764,12.115417
-21.0,820,13.45037
-19.0,990,14.863173
-21.0,910,16.282457
-21.0,792,16.13983
-21.0,868,17.395045
-21.0,905,18.856574
-21.0,764,22.003581
-21.0,852,26.289709
-21.0,882,30.794682
-21.0,870,35.075148
-21.0,862,39.196479
-20.0,856,43.371983
-21.0,764,47.213907
-20.0,1099,51.132101
-21.0,1104,56.532322
-21.0,783,60.319726
-21.0,950,64.946959
-20.0,1030,69.944237
-21.0,975,74.80511
-21.0,829,77.257385
-21.0,885,81.497689
-21.0,825,85.452265
-21.0,870,89.652814
-21.0,764,93.272442
-21.0,941,97.785092
-20.0,943,102.310807
-21.0,862,106.505403
-21.0,764,108.648026
-21.0,844,112.678632
-21.0,764,116.341276
-21.0,824,120.227416
-21.0,783,124.025048
-21.0,870,128.347031
-20.0,932,132.87829
-20.0,943,137.473849
-21.0,764,139.742811
-21.0,826,143.838897
-20.0,994,148.595331
-20.0,882,152.757649
-20.0,1038,157.926589
-21.0,822,161.920782
-21.0,967,166.617501
-21.0,872,169.513984
-21.0,881,173.751741
-21.0,852,177.86098
-21.0,1024,182.797359
-21.0,764,186.528969
-21.0,824,190.537564
-21.0,1002,195.429418
-21.0,899,199.682029
-21.0,764,201.885414
-20.0,890,206.070833
-21.0,821,210.02434
-21.0,764,213.724156
-21.0,820,217.601798
-21.0,792,221.338767
-21.0,850,225.388438
-21.0,813,229.263498
-21.0,886,232.202825
-21.0,852,236.334908
-20.0,871,240.518072
-21.0,872,244.763727
-21.0,930,249.283414
-21.0,973,254.221409
-20.0,897,258.603629
-21.0,853,262.769497
-21.0,764,264.982085
-21.0,783,268.889828
-21.0,886,273.536418
-21.0,950,278.362036
-21.0,978,283.418547
-21.0,884,287.804244
-21.0,872,292.114203
-21.0,917,295.100101
-21.0,852,299.34622
-21.0,887,303.72137
-21.0,792,307.700946
-21.0,1066,312.870265
-21.0,932,317.52058
