#{"t_start": 1764983017.9365647, "env_id": "ALE/Pong-v5"}
r,l,t
-21.0,872,3.06155
-21.0,783,4.114318
-21.0,783,5.263987
-21.0,967,6.770313
-20.0,921,8.067765
-21.0,844,9.32272
-21.0,764,10.446872
-20.0,870,11.806524
-21.0,824,12.9946
-21.0,835,14.310098
-21.0,855,15.65914
-21.0,764,15.366827
-21.0,764,16.586262
-20.0,921,17.950122
-21.0,986,19.578832
-21.0,764,24.098307
-19.0,1194,30.131449
-21.0,764,33.916391
-21.0,912,38.29851
-21.0,782,42.078725
-21.0,884,46.555176
-21.0,764,48.862856
-21.0,848,52.999184
-21.0,764,56.668528
-21.0,840,60.803174
-21.0,792,64.675514
-21.0,902,69.106684
-21.0,914,73.477786
-21.0,824,77.337968
-20.0,959,80.541784
-21.0,915,84.89333
-21.0,853,88.879796
-20.0,922,93.237592
-21.0,840,97.15033
-21.0,764,100.876101
-21.0,824,104.868958
-21.0,871,109.120858
-20.0,871,111.803247
-20.0,963,116.504637
-21.0,782,120.18453
-17.0,1149,125.755857
-21.0,954,130.515392
-20.0,875,134.899598
-20.0,1028,139.917563
-21.0,881,142.756836
-21.0,913,147.124954
-21.0,764,150.857063
-21.0,792,154.783168
-20.0,1165,160.582907
-21.0,764,164.257552
-20.0,898,168.662903
-20.0,919,171.860404
-21.0,931,176.367359
-21.0,992,181.198542
-21.0,873,185.429416
-21.0,884,189.704557
-21.0,792,193.401889
-21.0,885,197.696264
-21.0,792,201.431199
-20.0,1042,205.004387
-21.0,824,208.980773
-21.0,764,212.692841
-21.0,782,216.450908
-20.0,870,220.577251
-21.0,941,225.19897
-21.0,844,229.314911
-21.0,881,232.231821
-20.0,991,237.056496
-21.0,962,241.683694
-21.0,981,246.509999
-21.0,947,251.139271
-21.0,912,255.682479
-21.0,932,260.235912
-21.0,1052,263.994918
-20.0,987,268.850323
-21.0,885,273.399732
-20.0,880,277.866882
-21.0,937,282.625011
-21.0,824,286.808498
-21.0,845,290.967224
-20.0,975,294.230709
-21.0,843,298.336193
-21.0,840,302.361404
-21.0,1113,307.921167
-21.0,923,312.410045
-20.0,970,317.076999
-21.0,1097,322.472544
-21.0,824,325.175224
-19.0,992,330.104599
-21.0,886,334.524365
-21.0,944,339.314158
-20.0,922,343.935757
-21.0,904,348.405162
-21.0,975,353.35153
-21.0,824,356.100779
-21.0,854,360.303146
-20.0,994,365.240356
-21.0,885,369.558324
-21.0,947,374.298124
-21.0,852,378.464541
-21.0,852,382.690308
-20.0,963,386.011914
-21.0,946,390.650319
-21.0,844,394.856168
-21.0,1033,400.329218
-21.0,915,404.736033
-21.0,904,409.214658
-20.0,1107,414.597142
-21.0,842,417.238669
-21.0,945,421.888298
-21.0,941,426.516155
-21.0,975,431.362092
-21.0,1000,436.235115
-21.0,951,440.945832
-21.0,943,445.672469
-21.0,1004,449.401329
-21.0,845,453.771766
-21.0,947,458.608794
-21.0,1189,464.907623
-21.0,886,469.366653
-21.0,848,473.803906
-20.0,1178,478.783996
-20.0,1113,484.672186
-20.0,1213,491.033977
-21.0,946,495.809824
-21.0,782,499.639653
-21.0,946,504.313739
-20.0,1108,508.488052
-21.0,852,512.706058
-21.0,943,517.361932
-21.0,844,521.498786
-21.0,975,526.675696
-21.0,824,531.276621
-21.0,1065,536.742285
-21.0,1015,540.433524
-20.0,968,545.396009
-21.0,783,549.324884
-21.0,1014,554.497066
-20.0,1015,559.569012
-20.0,960,564.758939
-21.0,941,569.428191
-21.0,852,572.216459
-21.0,871,576.719244
-21.0,914,581.835091
-20.0,1042,587.25225
-20.0,1079,592.64379
-20.0,1130,598.295492
-19.0,1063,602.258564
-21.0,950,606.988947
-21.0,852,611.165422
-21.0,886,615.572632
-18.0,1192,621.493403
-20.0,1024,626.662978
-20.0,1000,631.709176
-19.0,1383,637.149527
-21.0,792,641.085237
-21.0,884,645.546159
-21.0,1156,651.290534
-21.0,945,656.08148
-20.0,1111,661.634207
-19.0,1051,665.460076
-21.0,792,669.446335
-20.0,908,673.834604
-19.0,1217,679.987165
-21.0,854,684.119467
-20.0,1030,689.215859
-20.0,842,693.528553
-21.0,871,698.112764
-21.0,1054,704.028462
-21.0,1100,709.804206
-20.0,1045,715.104055
-21.0,915,719.775828
-20.0,982,724.645681
-21.0,913,727.890904
-21.0,1006,732.928471
-18.0,1584,741.015745
-21.0,824,745.186865
-20.0,837,749.247897
-19.0,995,754.207079
-21.0,1008,757.791234
-19.0,999,762.805081
-21.0,821,766.839745
-18.0,1212,772.822499
-19.0,1449,780.118362
-20.0,1163,785.871476
-21.0,826,788.547539
-21.0,904,793.179184
-20.0,1070,798.599814
-21.0,975,803.590363
-20.0,1046,808.904833
-21.0,764,812.646255
-19.0,1117,816.748794
-21.0,971,821.625527
-20.0,1155,827.349876
-20.0,1023,832.507174
-20.0,1103,838.157744
-21.0,991,843.222594
-18.0,1362,848.519609
-21.0,1035,853.748271
-20.0,1132,859.439055
-17.0,1317,865.95463
-19.0,1183,871.90861
-20.0,878,876.318653
-21.0,1068,880.791287
-20.0,999,885.836346
-20.0,982,890.758132
-21.0,1069,896.130531
-18.0,1145,901.812569
-21.0,933,906.633837
-19.0,998,910.115197
-21.0,945,915.013739
-21.0,852,919.363861
-19.0,1138,925.194756
-21.0,1030,930.538109
-21.0,1007,935.969868
-18.0,1274,941.068854
-20.0,889,946.03694
-21.0,853,950.591761
-18.0,1451,958.120104
-20.0,1261,964.470997
-19.0,1031,972.212164
-20.0,1070,978.171195
-21.0,1145,984.224198
-20.0,842,988.575698
-21.0,965,993.927625
-20.0,992,999.374218
-21.0,1064,1003.53528
-15.0,1652,1011.992902
-21.0,901,1016.72799
-19.0,1144,1022.613607
-21.0,1065,1028.056124
-17.0,1500,1034.386325
-19.0,1159,1040.2627
-20.0,979,1045.540238
-21.0,884,1050.557955
-20.0,1156,1057.266913
-20.0,1157,1063.48827
-19.0,1015,1067.753499
-20.0,1177,1074.452357
-17.0,1308,1084.262987
-18.0,1341,1094.624067
-20.0,1154,1101.614295
-20.0,1137,1111.184313
-20.0,1182,1121.080336
-19.0,1183,1129.222066
-20.0,1115,1138.69732
-21.0,1052,1147.484411
-18.0,1186,1156.623821
-20.0,959,1163.461721
-18.0,1193,1171.949917
