#{"t_start": 1764983017.96889, "env_id": "ALE/Pong-v5"}
r,l,t
-21.0,993,3.274168
-21.0,764,4.324505
-21.0,884,5.576431
-21.0,792,6.779802
-21.0,916,8.035338
-21.0,993,9.496178
-21.0,824,10.747942
-21.0,811,11.9813
-20.0,983,13.588425
-21.0,764,14.688246
-21.0,912,16.109133
-21.0,838,15.922363
-20.0,879,17.283556
-21.0,820,18.618797
-20.0,944,22.046445
-21.0,999,27.06951
-20.0,865,31.340358
-21.0,792,35.19139
-20.0,1000,40.039971
-20.0,929,44.817781
-21.0,824,47.450924
-21.0,826,51.398013
-21.0,822,55.295144
-20.0,1052,60.454303
-21.0,792,64.289623
-21.0,783,68.026981
-21.0,1033,73.174325
-21.0,887,77.394705
-20.0,936,80.489453
-21.0,764,84.08873
-21.0,852,88.201471
-21.0,943,92.727059
-21.0,852,96.782816
-21.0,854,100.923562
-21.0,914,105.322587
-20.0,842,107.880794
-21.0,862,111.92738
-21.0,821,115.880665
-20.0,897,120.127627
-21.0,1021,125.069203
-21.0,913,129.546895
-21.0,940,134.118526
-21.0,820,138.142859
-21.0,824,140.740319
-21.0,911,145.072785
-21.0,824,149.113502
-21.0,824,153.185191
-21.0,941,157.792703
-20.0,979,162.63656
-21.0,792,166.380105
-20.0,897,170.746943
-21.0,843,173.436691
-21.0,899,177.860627
-21.0,882,182.09207
-21.0,764,185.724633
-21.0,862,189.915119
-19.0,1133,195.471916
-21.0,842,199.538824
-20.0,1015,202.934274
-21.0,903,207.205642
-20.0,921,211.688806
-21.0,825,215.633398
-21.0,881,219.831511
-21.0,848,223.867334
-21.0,792,227.692434
-21.0,764,231.399362
-21.0,988,234.698933
-21.0,854,238.808428
-20.0,931,243.391468
-21.0,880,247.589168
-21.0,941,252.264932
-21.0,840,256.540833
-21.0,946,261.086137
-21.0,854,263.810811
-21.0,848,268.072867
-21.0,943,272.92367
-21.0,824,277.114184
-21.0,886,281.605949
-21.0,840,285.987518
-21.0,975,290.704243
-21.0,1028,294.362124
-21.0,824,298.406709
-21.0,928,302.912997
-21.0,931,307.484531
-19.0,966,312.298815
-20.0,1102,317.829751
-20.0,958,322.439572
-20.0,939,325.569771
-21.0,764,329.364722
-21.0,824,333.508069
-20.0,922,338.063034
-21.0,880,342.527425
-21.0,884,346.99172
-21.0,871,351.465693
-21.0,880,354.351797
-21.0,1061,359.625807
-21.0,824,363.70842
-20.0,990,368.612553
-21.0,792,372.600549
-21.0,792,376.5756
-20.0,1227,382.752058
-21.0,1246,387.573687
-20.0,1070,392.762531
-21.0,914,397.635678
-21.0,764,401.401054
-21.0,905,405.891613
-21.0,825,409.91049
-21.0,907,414.384096
-21.0,965,417.607943
-21.0,884,421.933842
-20.0,1026,426.966265
-21.0,966,431.748391
-21.0,943,436.31198
-21.0,826,440.411649
-21.0,945,445.11538
-21.0,844,447.886487
-21.0,886,452.651112
-21.0,824,457.045987
-21.0,792,460.947931
-20.0,1053,466.5153
-21.0,1175,472.438367
-21.0,992,477.897099
-21.0,974,481.46614
-21.0,880,486.313089
-20.0,1051,491.659772
-20.0,982,496.540815
-21.0,854,500.822967
-21.0,872,505.237989
-21.0,764,508.990952
-20.0,921,512.224102
-19.0,998,517.225586
-21.0,973,522.033851
-21.0,886,526.753634
-18.0,1176,533.122541
-21.0,1024,538.320608
-20.0,1068,542.247776
-21.0,1038,547.422808
-20.0,992,552.49689
-21.0,950,557.370206
-21.0,1023,562.665051
-21.0,845,567.038112
-21.0,1052,570.811387
-21.0,945,575.61642
-20.0,983,581.249721
-19.0,1181,587.414699
-20.0,1440,594.614527
-20.0,1209,600.741499
-20.0,1028,604.458809
-21.0,824,608.520507
-21.0,854,612.703341
-20.0,902,617.186873
-21.0,913,621.562813
-20.0,1150,627.345091
-20.0,963,632.178538
-20.0,1056,635.992629
-21.0,946,640.646919
-21.0,940,645.260875
-20.0,995,650.233388
-21.0,886,654.663571
-21.0,1095,660.153701
-21.0,994,663.757631
-18.0,1398,670.715663
-20.0,1061,676.002014
-20.0,1055,681.28401
-19.0,1027,686.453707
-21.0,946,691.188879
-20.0,981,695.731342
-18.0,1402,704.20231
-21.0,1001,709.571432
-19.0,1154,715.565801
-21.0,1022,720.815109
-20.0,1592,727.525646
-19.0,1350,734.338194
-21.0,825,738.524902
-21.0,910,743.142938
-21.0,885,747.505306
-20.0,958,752.173461
-19.0,1134,756.364628
-20.0,1126,762.007834
-21.0,974,766.936102
-18.0,1057,772.248657
-21.0,1079,777.746684
-19.0,1025,782.84047
-20.0,988,786.273448
-20.0,1026,791.559733
-21.0,1133,797.321045
-21.0,1055,802.575331
-20.0,975,807.493311
-21.0,992,812.355979
-19.0,1200,816.813052
-19.0,1182,822.781933
-20.0,897,827.160808
-20.0,1065,832.562473
-20.0,1029,837.771356
-21.0,843,842.061051
-18.0,1365,847.322931
-21.0,1068,852.747976
-20.0,950,857.562001
-21.0,885,861.937213
-21.0,1031,867.134639
-20.0,1291,873.53102
-18.0,1258,878.931828
-19.0,1110,884.572468
-21.0,1216,890.745729
-21.0,930,895.422593
-21.0,881,899.706418
-20.0,1021,904.943892
-21.0,1080,908.880038
-21.0,946,913.733103
-20.0,1226,920.136654
-19.0,1056,925.527469
-21.0,923,930.239567
-19.0,1176,936.620575
-21.0,824,940.727422
-21.0,946,944.516693
-20.0,1059,950.202444
-20.0,1003,955.394698
-20.0,1052,960.81555
-20.0,1101,966.571338
-21.0,984,974.086253
-20.0,1117,980.154162
-20.0,1078,985.838651
-19.0,1215,992.356333
-20.0,1321,999.775229
-21.0,764,1002.242627
-21.0,932,1007.009628
-18.0,1244,1013.462157
-20.0,1044,1018.716352
-21.0,1434,1026.096375
-18.0,1240,1032.522963
-18.0,1233,1037.367074
-20.0,1096,1043.024266
-19.0,1216,1049.688772
-19.0,1232,1057.052394
-19.0,1076,1062.84203
-21.0,1055,1067.26487
-18.0,1398,1075.401567
-18.0,1263,1084.965247
-16.0,1371,1094.144687
-20.0,1008,1101.68896
-18.0,1532,1114.308422
-21.0,1164,1124.058105
-19.0,1262,1133.007386
-17.0,1445,1145.177147
-20.0,1183,1155.494002
-18.0,1351,1164.236671
-18.0,1569,1175.400967
-18.0,1365,1186.272534
-20.0,1055,1194.313213
-20.0,1301,1206.155476
-21.0,918,1214.420316
-19.0,1156,1223.699579
-17.0,1438,1236.540086
-18.0,1278,1247.233766
-19.0,1229,1256.263475
-20.0,998,1264.632189
-17.0,1356,1276.064627
-19.0,1217,1281.440782
-21.0,914,1286.216867
-19.0,1424,1293.378708
-20.0,1183,1299.310791
-18.0,1328,1305.989033
-21.0,936,1309.186834
-18.0,1277,1315.582778
-21.0,1006,1320.6515
-16.0,1447,1327.942674
-20.0,1192,1333.857526
-21.0,972,1338.691824
-20.0,926,1341.787728
-21.0,974,1346.6914
-20.0,1043,1351.919991
-19.0,1468,1359.419563
-19.0,1179,1365.293169
-16.0,1831,1373.021241
-20.0,1085,1378.664755
-19.0,1301,1385.526312
-19.0,1173,1391.675832
-18.0,1577,1400.083164
-18.0,1199,1404.8151
-21.0,885,1409.62044
-19.0,1313,1416.802383
-16.0,1570,1425.871271
-20.0,1399,1432.014011
-21.0,1033,1437.542743
-19.0,1049,1443.016397
-21.0,945,1447.903249
-17.0,1392,1455.014771
-17.0,1319,1461.798149
-16.0,1544,1468.264309
-19.0,1306,1474.875318
-18.0,1308,1481.472279
-17.0,1393,1488.401323
-15.0,1559,1494.828495
-16.0,1734,1504.076202
-18.0,1366,1511.310187
-19.0,1117,1517.1425
-16.0,1557,1525.082528
-13.0,1909,1533.47578
-21.0,940,1538.553918
-15.0,1683,1547.306195
-15.0,1569,1555.190392
-19.0,1485,1561.239172
-17.0,1529,1569.105756
-20.0,1044,1574.360673
-11.0,2065,1584.925199
-19.0,1292,1589.93987
-20.0,978,1594.699628
-19.0,1164,1600.460716
-20.0,1070,1605.880742
-14.0,1628,1614.222071
-15.0,1855,1622.517873
