#{"t_start": 1764983017.9062803, "env_id": "ALE/Pong-v5"}
r,l,t
-21.0,946,3.244217
-21.0,826,4.409285
-21.0,886,5.685902
-21.0,852,6.984123
-21.0,872,8.20664
-21.0,764,9.275718
-21.0,792,10.497421
-20.0,837,11.783193
-21.0,851,13.047473
-21.0,854,14.427975
-21.0,877,15.780185
-21.0,802,15.5563
-20.0,897,16.950806
-21.0,792,18.13173
-21.0,842,19.547976
-21.0,853,24.317845
-21.0,830,28.611885
-21.0,782,32.449049
-21.0,783,36.351518
-21.0,764,40.010591
-21.0,854,44.356803
-21.0,904,47.401313
-21.0,852,51.480965
-21.0,852,55.672588
-21.0,900,59.942772
-21.0,843,64.098751
-21.0,963,68.748127
-21.0,782,72.600397
-21.0,844,76.658348
-21.0,852,79.29815
-21.0,854,83.349211
-21.0,913,87.573569
-21.0,944,92.161149
-20.0,878,96.285295
-21.0,764,99.957831
-21.0,903,104.332825
-21.0,852,108.454072
-21.0,880,111.195554
-20.0,878,115.421543
-21.0,764,119.060294
-21.0,881,123.363718
-21.0,825,127.525607
-20.0,903,132.061528
-21.0,904,136.528456
-21.0,783,138.853784
-21.0,884,143.229463
-21.0,824,147.255002
-21.0,903,151.556415
-21.0,884,155.845531
-21.0,884,160.113356
-21.0,884,164.455172
-21.0,971,169.28166
-19.0,967,172.628221
-20.0,908,177.047901
-21.0,843,181.071924
-20.0,898,185.44289
-21.0,946,190.056742
-21.0,943,194.607235
-20.0,960,199.280091
-20.0,927,202.213725
-21.0,958,206.860776
-21.0,810,210.726512
-19.0,980,215.532644
-21.0,885,219.801046
-21.0,852,223.945947
-21.0,920,228.375173
-21.0,1067,232.170476
-21.0,764,235.774307
-21.0,1013,240.695085
-20.0,865,244.953106
-18.0,1104,250.436393
-21.0,842,254.573092
-21.0,930,259.228414
-21.0,825,263.241356
-21.0,764,265.410208
-21.0,1093,270.933928
-21.0,931,275.748986
-21.0,764,279.454876
-21.0,852,283.815644
-21.0,863,288.075584
-21.0,978,292.940877
-21.0,880,295.763216
-21.0,945,300.411408
-20.0,1150,306.085254
-21.0,1007,311.019057
-20.0,939,315.596753
-21.0,812,319.6538
-21.0,1033,324.716178
-21.0,793,327.279122
-21.0,764,331.044755
-19.0,1155,336.828656
-21.0,1009,341.916315
-21.0,915,346.485021
-20.0,922,351.113008
-21.0,951,354.438564
-21.0,793,358.313221
-21.0,885,362.679223
-18.0,1274,368.999179
-21.0,825,373.116657
-21.0,1067,378.469873
-21.0,852,382.619499
-19.0,1105,386.673612
-21.0,764,390.297906
-20.0,930,394.983811
-20.0,903,399.650522
-21.0,1130,405.227421
-21.0,853,409.338307
-20.0,1131,414.937925
-21.0,922,418.059719
-21.0,948,422.72331
-21.0,904,427.184664
-21.0,932,431.72508
-21.0,1024,436.798991
-21.0,884,441.129638
-21.0,884,445.437019
-20.0,957,448.871013
-21.0,899,453.465394
-21.0,1007,458.639416
-21.0,932,463.474007
-21.0,885,468.026667
-20.0,1058,473.471315
-19.0,1279,478.97764
-21.0,852,483.289414
-21.0,886,488.057616
-21.0,970,492.961934
-20.0,1113,498.547152
-19.0,1214,504.690149
-21.0,946,509.384933
-21.0,912,512.630386
-21.0,886,516.933538
-19.0,1185,522.924594
-20.0,922,527.868686
-21.0,1035,533.509083
-21.0,934,538.278254
-21.0,922,541.4853
-21.0,1006,546.614946
-21.0,1095,552.290557
-21.0,885,556.686715
-21.0,1067,562.159908
-21.0,1044,567.531688
-21.0,922,570.70538
-21.0,887,575.144777
-19.0,1236,582.223614
-21.0,852,586.464018
-20.0,991,591.455755
-20.0,1053,596.709795
-21.0,1086,602.017411
-21.0,947,605.295911
-21.0,1002,610.289608
-21.0,1122,615.944873
-20.0,1243,622.146958
-21.0,961,626.860253
-21.0,950,631.642686
-19.0,1129,635.726058
-21.0,1172,641.594344
-21.0,945,646.253489
-20.0,987,651.227496
-21.0,764,654.987577
-21.0,975,659.884194
-20.0,954,663.152745
-21.0,884,667.518992
-20.0,1151,673.18875
-21.0,825,677.346441
-21.0,913,681.818247
-20.0,1104,687.241144
-18.0,1151,693.044283
-20.0,920,698.118128
-21.0,1206,704.869639
-21.0,1002,710.167073
-20.0,1102,715.805824
-19.0,1165,721.69024
-21.0,884,724.707486
-20.0,1081,730.187037
-21.0,946,734.939104
-21.0,886,739.422741
-19.0,1158,745.140022
-21.0,972,749.999156
-21.0,1113,755.603163
-19.0,1313,760.721991
-20.0,1039,765.935423
-20.0,1272,772.334132
-20.0,1565,780.321756
-21.0,853,784.542769
-21.0,913,787.734602
-20.0,927,792.385577
-20.0,898,796.869284
-20.0,1285,803.282607
-19.0,1149,809.045497
-21.0,913,813.556986
-20.0,1184,817.995477
-21.0,994,822.889721
-21.0,974,827.645778
-18.0,1384,834.671984
-21.0,974,839.67183
-20.0,1200,845.637234
-19.0,1252,850.495094
-21.0,764,854.367148
-21.0,1053,859.735898
-21.0,820,863.825262
-21.0,869,868.111679
-21.0,922,872.599281
-21.0,845,876.874034
-21.0,882,880.417527
-21.0,1392,887.476026
-20.0,978,892.377851
-20.0,1161,898.231645
-20.0,1168,904.082572
-17.0,1334,909.347369
-21.0,880,913.882463
-18.0,1401,921.095253
-21.0,845,925.411384
-20.0,1079,930.986964
-18.0,1520,939.061228
-19.0,1209,944.147645
-21.0,933,949.050243
-20.0,1104,954.916038
-18.0,1229,961.220861
-20.0,1028,966.615279
-21.0,1033,974.427959
-19.0,1388,981.909615
-20.0,949,986.903468
-19.0,1592,995.681298
-20.0,1157,1002.093708
-21.0,913,1005.349471
-21.0,853,1009.79942
-17.0,1426,1017.169771
-17.0,1255,1023.588797
-20.0,1017,1028.836434
-19.0,1052,1032.723033
-19.0,1133,1038.587222
-21.0,931,1043.441808
-18.0,1332,1050.918956
-19.0,1179,1057.724584
-20.0,1202,1062.789638
-18.0,1126,1069.084143
-17.0,1529,1078.626114
-20.0,1326,1089.070082
-18.0,1579,1099.337488
-17.0,1146,1108.552298
-19.0,1325,1119.364863
-18.0,1277,1128.390388
-19.0,1319,1139.892256
-18.0,1354,1151.44698
-19.0,1122,1159.500748
-21.0,886,1165.641446
-16.0,1480,1176.019068
-20.0,1141,1184.392326
-19.0,1331,1195.515707
-20.0,1266,1206.843571
-20.0,1130,1217.314314
-18.0,1329,1228.21106
-21.0,873,1235.962815
-17.0,1308,1246.931563
-17.0,1456,1257.720986
-18.0,1424,1270.133739
-16.0,1493,1279.130225
-19.0,1035,1284.446077
-19.0,1097,1289.955307
-21.0,1345,1296.699258
-19.0,1128,1302.308078
-20.0,1025,1307.550416
-19.0,1404,1313.122778
-20.0,1312,1319.662983
-20.0,1007,1324.80686
-17.0,1326,1331.412313
-19.0,1179,1337.329871
-21.0,1206,1341.851077
-21.0,783,1345.69277
-18.0,1321,1352.33788
-17.0,1589,1360.487173
-19.0,1113,1366.016182
-18.0,1263,1370.885343
-20.0,1088,1376.453773
-21.0,1129,1382.440228
-20.0,1089,1388.27995
-18.0,1103,1394.002394
-16.0,1444,1401.460107
-17.0,1268,1406.537946
-17.0,1394,1414.001124
-18.0,1269,1421.353513
-21.0,840,1425.954886
-18.0,1154,1432.109846
-18.0,1211,1437.1043
-20.0,1053,1442.824115
-15.0,1472,1450.364533
-17.0,1435,1457.671753
-21.0,965,1462.635423
-15.0,1394,1468.304067
-16.0,1414,1475.463398
-18.0,1317,1481.972797
-18.0,1189,1488.003356
-17.0,1238,1494.293808
-14.0,1721,1501.952614
-20.0,1436,1509.580885
-16.0,1421,1516.942876
-20.0,945,1521.838941
-17.0,1315,1526.970675
-17.0,1330,1533.938063
-19.0,1239,1540.689305
-18.0,1436,1547.963762
-16.0,1528,1555.757623
-11.0,1968,1564.278592
-13.0,2060,1574.596629
-14.0,1752,1583.490636
-20.0,975,1586.956998
-13.0,1875,1596.419305
-17.0,1308,1603.013308
-20.0,1112,1608.722915
-14.0,1830,1616.597025
-19.0,1318,1623.517374
-17.0,1526,1631.696259
-16.0,1487,1639.774252
-14.0,1657,1648.69806
-18.0,1120,1653.270037
-18.0,1265,1660.119586
-18.0,1478,1667.880244
-18.0,1310,1674.580782
-15.0,1699,1681.934179
-18.0,1414,1689.142377
-18.0,1336,1696.600553
-19.0,1187,1702.86338
-19.0,1296,1709.603242
-16.0,1901,1718.776424
-10.0,2234,1731.243305
-18.0,1377,1738.391311
-15.0,1579,1745.48012
-18.0,1204,1751.814961
-17.0,1304,1758.870735
-17.0,1386,1766.2306
-17.0,1535,1772.92116
-20.0,1165,1779.256377
-16.0,1477,1787.167447
-13.0,1817,1797.046438
-17.0,1584,1804.23237
-15.0,1601,1812.99209
-14.0,1854,1822.906717
-18.0,1197,1829.385121
-16.0,1601,1836.659479
-14.0,2075,1848.175608
-15.0,1518,1856.341972
-13.0,2241,1867.147686
-16.0,1503,1875.370688
-17.0,1214,1881.956319
-17.0,1466,1889.858285
-13.0,1738,1897.88625
-15.0,1821,1907.308637
-19.0,1186,1913.332709
-18.0,1703,1922.084559
-12.0,1832,1929.946696
-9.0,2204,1941.334027
-15.0,1632,1949.742592
-13.0,1611,1957.006428
-12.0,2153,1969.392926
-4.0,2545,1983.048487
-14.0,1893,1991.902129
-10.0,2437,2006.414446
-15.0,1902,2016.901926
-8.0,2301,2028.087207
-15.0,1705,2037.460049
-13.0,2078,2048.14303
-14.0,1562,2054.42131
-18.0,1209,2060.570811
-17.0,1480,2068.256037
-15.0,1550,2077.746861
-12.0,1847,2086.150811
-14.0,1925,2096.244
-16.0,1503,2104.058846
-13.0,1872,2112.320666
-11.0,2257,2124.635142
-14.0,1747,2133.445956
-11.0,1776,2140.969473
-13.0,2048,2151.505422
-4.0,2798,2166.25758
-11.0,2261,2176.529738
-19.0,1424,2183.722016
-12.0,2017,2194.072957
-18.0,1231,2201.127714
-16.0,1465,2207.184408
-13.0,1804,2216.526865
-12.0,2008,2227.016371
-11.0,2020,2235.721607
-18.0,1462,2243.145248
-18.0,1484,2250.673058
-13.0,1665,2259.085486
-10.0,2586,2270.815928
-15.0,1679,2279.203435
-7.0,2720,2292.872532
-6.0,2784,2305.541482
-6.0,2879,2321.242478
-8.0,2787,2334.659263
-8.0,2813,2349.264397
-11.0,2244,2359.633028
-12.0,1662,2368.094275
-8.0,2589,2382.271744
-12.0,2159,2393.205893
-9.0,2175,2404.616645
-13.0,1650,2412.890183
-15.0,1726,2419.965042
-11.0,2562,2432.886439
-9.0,2382,2444.88103
-9.0,2389,2455.49169
-3.0,3024,2471.560803
-7.0,2578,2483.263859
-5.0,2467,2496.635902
-6.0,2480,2509.131043
5.0,2703,2521.322296
-10.0,2293,2532.915973
-11.0,2152,2542.371369
5.0,2807,2556.6916
-6.0,3040,2570.678341
-2.0,2919,2585.3403
-3.0,2865,2599.70659
-6.0,2462,2610.733031
2.0,2906,2625.655411
-8.0,2405,2636.364713
-2.0,3381,2654.175638
-3.0,2964,2667.782861
3.0,2879,2682.895333
2.0,3637,2700.591468
-2.0,2859,2715.441701
9.0,2714,2727.693847
1.0,3081,2743.468922
-2.0,2968,2757.0714
-5.0,2644,2770.544371
3.0,2824,2785.058772
1.0,3039,2798.96311
-5.0,2555,2811.966471
10.0,2650,2824.024954
5.0,2815,2838.298669
9.0,2551,2849.990059
3.0,2896,2864.923638
5.0,3234,2879.911112
5.0,2510,2892.732885
-1.0,3121,2908.728728
4.0,2584,2920.6703
-2.0,2936,2935.918608
11.0,2311,2946.338395
8.0,2913,2961.209893
6.0,3013,2975.087053
8.0,3046,2990.817662
4.0,2636,3003.087196
6.0,3025,3018.807335
6.0,2790,3032.539442
5.0,2914,3051.368388
10.0,2330,3063.390384
12.0,2428,3076.843784
10.0,2939,3092.796683
9.0,2416,3103.981074
12.0,2280,3115.953798
10.0,2546,3127.809527
12.0,2506,3140.923093
7.0,3088,3155.779351
11.0,2282,3168.699196
13.0,2286,3182.781167
13.0,2549,3195.054127
