#{"t_start": 1764983017.9367177, "env_id": "ALE/Pong-v5"}
r,l,t
-21.0,810,2.950316
-21.0,841,4.115277
-21.0,810,5.280545
-21.0,879,6.644794
-21.0,764,7.705609
-21.0,870,8.977694
-21.0,764,10.098904
-21.0,871,11.492175
-21.0,792,12.656568
-21.0,764,13.894771
-21.0,792,15.02082
-21.0,881,16.410733
-21.0,880,16.378674
-21.0,820,17.575736
-21.0,826,18.888184
-21.0,915,22.75228
-21.0,824,26.931845
-21.0,885,31.371944
-21.0,825,35.418669
-21.0,853,39.416299
-21.0,792,43.300791
-21.0,842,46.190571
-21.0,873,50.380758
-21.0,824,54.241785
-21.0,824,58.206932
-21.0,824,62.169981
-21.0,783,66.097524
-21.0,872,70.305351
-21.0,873,74.542389
-21.0,976,77.77486
-21.0,1010,82.562465
-21.0,792,86.366771
-21.0,764,89.944411
-21.0,854,94.009625
-21.0,885,98.253628
-21.0,764,101.954654
-20.0,837,105.941821
-21.0,904,108.800941
-21.0,992,113.598874
-21.0,881,117.866822
-21.0,830,121.909088
-20.0,929,126.489549
-21.0,764,130.345548
-21.0,899,134.805453
-21.0,852,138.96838
-21.0,884,141.892502
-20.0,871,146.104518
-21.0,871,150.327335
-21.0,881,154.629862
-21.0,1038,159.741084
-21.0,869,164.022539
-21.0,824,168.032378
-21.0,844,170.758909
-21.0,792,174.688572
-20.0,906,179.122733
-21.0,863,183.311001
-21.0,871,187.534733
-20.0,925,192.006434
-21.0,824,195.992621
-19.0,1089,201.208551
-21.0,793,203.518018
-21.0,880,207.792566
-21.0,880,212.044472
-21.0,992,216.842667
-21.0,811,220.76535
-21.0,764,224.39244
-21.0,764,228.179026
-20.0,964,231.414629
-21.0,873,235.577657
-21.0,913,239.977524
-21.0,1009,244.902787
-20.0,957,249.589382
-19.0,1106,255.112453
-19.0,1045,260.237023
-18.0,1107,264.310276
-21.0,902,268.769161
-21.0,874,273.414405
-21.0,1128,279.169015
-20.0,979,284.331875
-21.0,966,289.013479
-21.0,872,293.335654
-21.0,975,296.591475
-20.0,1073,301.794888
-21.0,913,306.29616
-20.0,1005,311.229647
-20.0,997,316.110777
-21.0,821,320.260436
-20.0,1011,323.799515
-21.0,793,327.675095
-20.0,989,332.717271
-21.0,932,337.281622
-21.0,914,341.805532
-21.0,824,345.939566
-21.0,764,349.685003
-21.0,976,354.508361
-21.0,812,357.074635
-21.0,1050,362.29963
-21.0,824,366.353412
-21.0,1010,371.449916
-21.0,1293,377.969474
-20.0,837,382.085503
-21.0,946,385.35631
-21.0,872,389.606673
-21.0,880,393.788881
-20.0,982,398.972983
-21.0,852,403.111757
-21.0,812,407.185644
-21.0,945,411.770244
-21.0,992,416.745669
-21.0,943,419.882307
-20.0,1000,424.803651
-20.0,1221,430.843269
-19.0,1167,436.679418
-20.0,976,441.59378
-20.0,902,446.073342
-20.0,1103,450.406266
-20.0,952,455.261734
-21.0,969,460.263891
-21.0,1025,465.573957
-21.0,1066,471.075805
-20.0,1364,478.552891
-21.0,904,481.66738
-21.0,764,485.835222
-21.0,913,490.469597
-21.0,853,494.613381
-21.0,945,499.312815
-21.0,912,503.828847
-20.0,1122,509.512219
-21.0,980,512.95911
-19.0,1378,519.837414
-21.0,1004,525.014732
-21.0,1007,530.743245
-21.0,976,535.695266
-21.0,886,540.091858
-19.0,1196,544.6796
-21.0,1105,550.345455
-21.0,1087,555.873388
-21.0,826,560.061904
-20.0,1010,565.438036
-20.0,1124,571.123339
-21.0,914,574.298443
-21.0,1065,580.289411
-21.0,941,585.267347
-21.0,1008,590.294043
-20.0,887,594.663156
-21.0,1060,600.010799
-20.0,1020,603.681774
-21.0,1034,608.809825
-21.0,792,612.759614
-21.0,914,617.321635
-21.0,932,621.950285
-21.0,871,626.251425
-21.0,973,631.086213
-21.0,862,633.913905
-21.0,1005,638.917131
-21.0,1008,643.953079
-21.0,965,648.746356
-21.0,844,652.924366
-20.0,1011,657.985924
-20.0,837,662.130295
-21.0,977,665.474242
-19.0,1300,672.028518
-20.0,1164,677.820015
-20.0,993,682.677708
-21.0,1035,687.851175
-21.0,1087,693.410549
-21.0,824,697.771445
-21.0,912,702.893088
-19.0,1181,709.182215
-21.0,870,713.676817
-21.0,854,718.129693
-21.0,1050,723.461607
-21.0,1027,727.23351
-18.0,1278,733.743333
-21.0,937,738.629492
-21.0,951,743.411084
-21.0,820,747.368407
-21.0,885,751.800325
-20.0,987,755.279949
-19.0,1206,761.226437
-20.0,1013,766.367412
-20.0,921,770.972363
-21.0,867,775.265513
-21.0,852,779.440495
-21.0,916,783.92153
-20.0,1041,787.704034
-20.0,1131,793.355918
-21.0,903,797.92925
-19.0,973,802.851401
-20.0,1133,808.566862
-20.0,1045,813.75952
-21.0,1146,817.874247
-21.0,1005,822.836547
-20.0,994,827.695911
-20.0,902,832.141205
-21.0,1096,837.713861
-21.0,843,842.011554
-21.0,945,846.780218
-20.0,1460,852.571622
-19.0,1152,858.362843
-21.0,947,863.041496
-21.0,825,867.085467
-20.0,1041,872.390545
-21.0,912,876.98061
-17.0,1485,883.561573
-19.0,1181,889.574763
-21.0,916,894.148077
-21.0,1006,899.242251
-20.0,903,903.700304
-21.0,966,908.630462
-21.0,1002,912.226565
-21.0,956,917.127756
-21.0,969,922.208186
-19.0,934,926.945412
-18.0,1870,936.889436
-19.0,1119,941.24788
-21.0,1124,947.29783
-18.0,1250,953.975013
-20.0,950,958.894992
-20.0,1384,966.047478
-21.0,1086,974.117777
-21.0,1035,979.741654
-20.0,1151,985.704543
-19.0,1094,991.510539
-19.0,1317,999.036183
-18.0,1089,1003.36557
-20.0,1084,1008.94035
-21.0,793,1012.892274
-21.0,988,1017.982948
-20.0,959,1022.953734
-16.0,1509,1030.638738
-21.0,824,1033.456763
-17.0,1377,1040.581521
-21.0,853,1044.949766
-19.0,1338,1053.133771
-20.0,1323,1060.360688
-18.0,1426,1066.789446
-20.0,1017,1072.425143
-20.0,1190,1080.749386
-21.0,1008,1088.824081
-14.0,1502,1098.377887
-20.0,982,1106.486059
-15.0,1510,1118.934795
-19.0,1334,1128.329301
-19.0,1241,1139.130598
-19.0,1201,1149.387607
-18.0,1089,1157.440086
-20.0,1228,1166.208391
-16.0,1343,1175.526178
-19.0,1166,1184.067628
-17.0,1334,1195.18641
-21.0,958,1204.119318
-20.0,1042,1213.429397
-20.0,908,1220.185874
-18.0,1430,1233.432174
-19.0,1062,1242.587808
-19.0,1296,1252.058938
-18.0,1259,1262.464814
-20.0,874,1270.104111
-15.0,1579,1279.602669
-20.0,1116,1285.417036
-20.0,1163,1291.288407
-21.0,945,1296.011557
-20.0,1086,1301.439741
-18.0,1356,1308.288599
-19.0,1086,1312.288406
-21.0,881,1316.669611
-21.0,1136,1322.354059
-19.0,1226,1328.470856
-17.0,1410,1335.53823
-17.0,1580,1341.90909
-19.0,1055,1347.147913
-20.0,1042,1352.323652
-20.0,1013,1357.429672
-20.0,958,1362.298928
-19.0,1280,1368.678059
-14.0,1695,1375.702866
-21.0,1155,1381.784128
-15.0,1363,1389.058051
-19.0,1045,1394.533247
-14.0,1734,1402.202927
-20.0,967,1407.137963
-15.0,1576,1415.686232
-21.0,912,1421.13705
-16.0,1419,1428.632595
-19.0,1168,1433.663854
-18.0,1235,1440.236213
-15.0,1440,1447.789864
-21.0,915,1452.51046
-14.0,1653,1460.920463
-17.0,1696,1468.121722
-17.0,1628,1476.501694
-17.0,1226,1482.655792
-18.0,1177,1488.524758
-17.0,1470,1494.426596
-19.0,1228,1501.019697
-15.0,1672,1509.924228
-17.0,1230,1516.28964
-15.0,1685,1525.000308
-18.0,1476,1530.88936
-18.0,1338,1538.209325
-15.0,1654,1546.724476
-17.0,1659,1555.129105
-19.0,1236,1559.966441
-20.0,1152,1565.844042
-19.0,1335,1572.47215
-16.0,1729,1581.275615
-18.0,1303,1586.408922
-15.0,1695,1594.96992
-20.0,1175,1600.763226
-14.0,2027,1611.171408
-17.0,1634,1618.208113
-16.0,1587,1626.693598
-16.0,1906,1636.99554
-16.0,1701,1646.284827
-19.0,1216,1651.372634
-17.0,1825,1661.251723
-19.0,1311,1667.942953
-16.0,1339,1674.729115
-19.0,1346,1680.080047
-16.0,1689,1688.778589
-19.0,1269,1695.89214
-17.0,1603,1704.44064
-15.0,1490,1710.768389
-19.0,1540,1719.635586
-19.0,1361,1727.244285
-17.0,1751,1736.303235
-19.0,1336,1741.984917
-14.0,1944,1752.458549
-17.0,1609,1761.037814
-16.0,1569,1769.353217
-16.0,1576,1776.442221
-9.0,2694,1790.996358
-17.0,1660,1799.981367
-18.0,1475,1806.596005
-15.0,1429,1814.341148
-14.0,1773,1823.860713
-16.0,1605,1832.544801
-16.0,1378,1838.481546
-15.0,1486,1846.825662
-14.0,1622,1855.617212
-14.0,2078,1865.46349
-13.0,2173,1877.235001
-14.0,1876,1887.558659
-15.0,1776,1895.501513
-15.0,1924,1905.820091
-18.0,1216,1912.074244
-20.0,1403,1919.191518
-16.0,1367,1924.600958
-15.0,1763,1933.604801
-16.0,1508,1941.326615
-12.0,1753,1950.416345
-12.0,2065,1960.36001
-12.0,2082,1972.338521
-14.0,1883,1982.065109
-18.0,1204,1986.91175
-15.0,1672,1996.489924
-14.0,1914,2008.00352
-14.0,1776,2017.477654
-13.0,1717,2025.425762
-14.0,1759,2034.996892
-9.0,2289,2046.903253
-17.0,1405,2052.32919
-13.0,1670,2060.976853
-11.0,2223,2073.250187
-12.0,2091,2083.712854
-8.0,2461,2096.640334
-13.0,2019,2107.097841
-14.0,1722,2114.637251
-19.0,1148,2120.765873
-18.0,1315,2127.677369
-15.0,1807,2136.815641
-14.0,1609,2143.529222
-13.0,1857,2153.079018
-8.0,2277,2165.199995
-9.0,2420,2176.237287
-16.0,1454,2183.729501
-11.0,2331,2196.465138
-9.0,2149,2206.163889
