#{"t_start": 1764983017.9977443, "env_id": "ALE/Pong-v5"}
r,l,t
-21.0,839,2.949545
-21.0,871,4.216702
-21.0,902,5.482781
-21.0,872,6.81553
-21.0,915,8.06534
-21.0,824,9.242785
-21.0,840,10.52811
-21.0,872,11.880095
-21.0,1032,13.537421
-21.0,764,14.636325
-21.0,914,16.099163
-21.0,824,15.874105
-20.0,870,17.221785
-21.0,764,18.430851
-21.0,882,21.275477
-21.0,842,25.612572
-21.0,764,29.455008
-21.0,842,33.547504
-21.0,990,38.393527
-21.0,810,42.195275
-21.0,826,46.402315
-21.0,792,48.821351
-21.0,884,53.100345
-21.0,852,57.213603
-21.0,1048,62.201789
-20.0,1012,67.207522
-21.0,826,71.281736
-19.0,938,75.797112
-21.0,820,78.277707
-21.0,944,82.797504
-21.0,880,86.948197
-21.0,885,91.156313
-20.0,976,95.727587
-21.0,885,100.092489
-21.0,1002,104.881955
-20.0,935,107.850897
-21.0,764,111.436004
-21.0,882,115.672287
-21.0,811,119.600629
-21.0,783,123.441314
-21.0,811,127.512843
-21.0,792,131.385943
-21.0,880,135.776821
-19.0,1111,139.813907
-21.0,764,143.58908
-21.0,792,147.369915
-21.0,840,151.46656
-21.0,930,156.008508
-20.0,967,160.843542
-21.0,825,164.84331
-21.0,792,168.680657
-21.0,782,171.092166
-21.0,943,175.733739
-21.0,810,179.617498
-21.0,853,183.809215
-21.0,812,187.719194
-21.0,880,191.872961
-21.0,812,195.83391
-21.0,904,200.200508
-21.0,1001,203.615055
-20.0,871,207.881264
-21.0,992,212.606127
-21.0,899,216.879186
-21.0,764,220.596557
-21.0,824,224.489893
-21.0,972,229.231455
-20.0,1057,232.91519
-21.0,792,236.76005
-21.0,941,241.308802
-21.0,908,245.731969
-21.0,924,250.249369
-21.0,962,255.147578
-21.0,1006,260.082852
-21.0,826,262.749635
-21.0,963,267.503094
-21.0,887,272.059712
-21.0,915,276.759137
-21.0,1068,282.153798
-21.0,764,286.1314
-21.0,974,290.905744
-21.0,826,293.546806
-21.0,885,297.869728
-21.0,843,301.973971
-21.0,905,306.412035
-21.0,853,310.676643
-21.0,946,315.269249
-21.0,908,319.803746
-20.0,898,324.138101
-20.0,1001,327.687725
-21.0,1094,333.083327
-20.0,948,337.782924
-20.0,837,341.927381
-21.0,764,345.791688
-21.0,764,349.563142
-21.0,764,353.369783
-21.0,824,356.054313
-20.0,925,360.646726
-21.0,929,365.344487
-21.0,824,369.472477
-21.0,968,374.259363
-20.0,1120,379.82649
-21.0,945,384.630002
-21.0,1005,388.057576
-21.0,1037,393.137225
-19.0,976,398.247716
-21.0,862,402.502664
-20.0,1111,407.961812
-21.0,887,412.264126
-19.0,1154,416.517469
-19.0,1029,421.49485
-21.0,825,425.561414
-21.0,1067,430.81019
-21.0,1209,436.795083
-21.0,783,440.544329
-21.0,946,445.265456
-21.0,1167,449.960736
-21.0,843,454.301714
-21.0,941,459.175457
-20.0,1055,464.753512
-19.0,1181,470.704884
-21.0,908,475.592752
-21.0,945,479.133611
-18.0,1072,484.884742
-21.0,1054,490.312836
-21.0,764,494.136341
-20.0,842,498.159318
-19.0,1217,504.267537
-21.0,764,507.993191
-21.0,1006,511.6207
-21.0,1066,516.957463
-19.0,1206,523.088943
-21.0,893,528.140112
-20.0,1041,533.672475
-21.0,1107,539.306363
-21.0,845,542.130138
-21.0,894,546.618254
-21.0,1025,551.874187
-21.0,932,556.485037
-21.0,1074,561.965287
-21.0,946,566.912706
-21.0,1019,570.569251
-21.0,764,574.340061
-21.0,1020,579.833548
-21.0,872,584.634721
-21.0,1028,589.827585
-21.0,945,594.508321
-21.0,940,599.260651
-21.0,854,602.112082
-21.0,884,606.431151
-21.0,884,610.850575
-20.0,859,615.089553
-21.0,971,619.829445
-20.0,1209,625.934552
-21.0,1153,631.748581
-20.0,917,634.82106
-20.0,917,639.362821
-20.0,1208,645.39655
-20.0,1009,650.396763
-21.0,1218,656.547128
-21.0,912,661.067521
-21.0,1007,664.551274
-20.0,938,669.147165
-20.0,985,674.026595
-20.0,957,678.804849
-20.0,1280,685.208705
-21.0,914,689.816113
-20.0,921,693.309921
-18.0,1332,701.849305
-21.0,912,706.894326
-19.0,1384,714.028625
-20.0,1181,720.05888
-19.0,1330,725.352318
-21.0,1022,730.588119
-18.0,1181,736.698951
-20.0,1200,742.745607
-20.0,983,747.655894
-20.0,1050,752.970498
-21.0,993,756.41653
-20.0,1241,762.639922
-21.0,1086,768.11533
-20.0,1106,773.634001
-21.0,824,777.736011
-21.0,783,781.616622
-21.0,1307,786.647806
-21.0,946,791.447781
-21.0,934,796.208153
-21.0,1110,801.811086
-20.0,959,806.70764
-18.0,1095,812.056254
-21.0,884,816.371745
-20.0,1102,820.342002
-21.0,973,825.091714
-20.0,958,829.788464
-20.0,1102,835.304817
-21.0,963,840.242127
-20.0,837,844.354154
-20.0,1424,849.97877
-21.0,1109,855.594116
-21.0,853,859.816512
-20.0,1306,866.292746
-21.0,972,871.199329
-20.0,1043,876.429789
-18.0,1067,880.977199
-16.0,1378,887.809047
-17.0,1364,894.653177
-18.0,1434,901.83524
-19.0,1141,907.599364
-19.0,1240,912.505999
-20.0,1313,919.199941
-19.0,1138,925.20573
-20.0,1000,930.296254
-20.0,934,935.307703
-19.0,1385,940.988786
