#{"t_start": 1764983017.9741542, "env_id": "ALE/Pong-v5"}
r,l,t
-21.0,852,2.947797
-21.0,872,4.186134
-21.0,764,5.275539
-21.0,824,6.560742
-21.0,764,7.624243
-21.0,824,8.809535
-20.0,879,10.105043
-18.0,1229,12.058474
-21.0,824,13.35414
-21.0,824,14.565663
-21.0,947,16.035892
-21.0,801,15.791285
-20.0,1054,17.447525
-21.0,962,18.968122
-21.0,852,22.888533
-21.0,764,26.792129
-21.0,792,30.742138
-21.0,764,34.599362
-21.0,903,38.958495
-21.0,764,42.535401
-21.0,890,47.054426
-21.0,909,50.085773
-21.0,764,53.811925
-21.0,764,57.554555
-21.0,860,61.753205
-21.0,764,65.503944
-21.0,1071,70.760032
-21.0,820,74.752398
-20.0,931,77.831083
-21.0,964,82.373035
-21.0,852,86.503048
-21.0,764,90.086247
-21.0,840,93.989595
-21.0,903,98.363747
-21.0,885,102.553066
-20.0,951,107.076031
-21.0,880,109.81986
-21.0,852,113.874857
-21.0,838,117.830869
-21.0,824,121.783028
-21.0,764,125.553936
-21.0,811,129.573606
-21.0,824,133.613196
-21.0,826,137.723166
-21.0,853,140.493839
-21.0,792,144.353868
-21.0,913,148.711786
-21.0,890,153.03189
-21.0,1021,158.047455
-21.0,992,162.971611
-21.0,854,167.107458
-21.0,912,170.151042
-20.0,1017,175.054774
-21.0,792,178.991743
-21.0,965,183.581033
-21.0,764,187.198149
-21.0,943,191.72651
-21.0,868,195.940347
-20.0,902,200.24276
-20.0,941,203.321136
-21.0,852,207.453553
-21.0,941,212.008029
-21.0,886,216.248384
-20.0,907,220.640504
-21.0,912,225.00226
-21.0,914,229.512243
-21.0,854,232.218311
-21.0,906,236.621394
-21.0,764,240.211939
-21.0,820,244.229971
-19.0,1044,249.391102
-20.0,950,254.14923
-21.0,792,258.035797
-21.0,932,262.606388
-21.0,886,265.514058
-21.0,1009,270.619827
-20.0,908,275.308891
-21.0,979,280.170525
-21.0,764,284.213957
-20.0,934,288.868872
-21.0,842,293.049512
-21.0,792,295.372955
-21.0,936,299.938012
-21.0,783,303.897409
-20.0,940,308.551919
-21.0,881,312.958779
-21.0,882,317.201548
-21.0,912,321.724739
-21.0,824,324.341716
-21.0,886,328.778448
-21.0,1067,334.092695
-21.0,792,338.079656
-21.0,824,342.192751
-21.0,852,346.506109
-21.0,966,351.386767
-19.0,1190,355.960167
-21.0,1024,361.074528
-21.0,992,365.990771
-21.0,826,370.143472
-21.0,871,374.453724
-20.0,967,379.214104
-21.0,811,383.318298
-18.0,1165,387.585286
-21.0,764,391.320798
-21.0,945,396.247492
