#{"t_start": 1764983017.874887, "env_id": "ALE/Pong-v5"}
r,l,t
-20.0,926,3.238835
-20.0,865,4.487048
-21.0,1103,6.054549
-20.0,908,7.421185
-21.0,764,8.505279
-21.0,913,9.850209
-21.0,934,11.315959
-21.0,826,12.473672
-21.0,812,13.813905
-20.0,1031,15.362427
-20.0,856,16.638919
-21.0,870,16.585196
-21.0,878,17.879324
-21.0,973,19.480698
-21.0,764,23.570186
-21.0,917,28.289475
-21.0,792,32.149532
-21.0,783,35.97052
-21.0,764,39.556792
-21.0,1000,44.567223
-21.0,793,46.893414
-21.0,903,51.324487
-21.0,853,55.387851
-21.0,792,59.166745
-21.0,800,62.993184
-21.0,764,66.691612
-19.0,961,71.445606
-19.0,1104,76.778968
-21.0,850,79.328591
-20.0,986,83.926123
-21.0,908,88.273236
-21.0,972,92.848226
-20.0,951,97.442197
-21.0,933,101.93198
-21.0,820,105.910337
-20.0,992,109.164873
-21.0,845,113.125935
-21.0,914,117.532409
-21.0,903,121.800152
-20.0,919,126.384436
-21.0,801,130.387154
-21.0,792,134.291635
-21.0,900,138.716537
-21.0,946,141.930192
-21.0,853,146.070643
-21.0,792,149.974057
-21.0,824,153.981419
-20.0,1001,158.830576
-21.0,826,162.900661
-20.0,925,167.463633
-21.0,882,170.356854
-21.0,880,174.668213
-21.0,824,178.682591
-21.0,914,183.071061
-21.0,812,187.049557
-21.0,945,191.581793
-21.0,764,195.247409
-21.0,844,199.394622
-20.0,981,202.568534
-21.0,886,206.71878
-21.0,852,210.771844
-20.0,901,215.086107
-21.0,825,219.063806
-21.0,872,223.305943
-20.0,871,227.548997
-21.0,862,231.744514
-21.0,764,234.066118
-21.0,824,238.037257
-21.0,852,242.0867
-21.0,966,246.81646
-21.0,922,251.369931
-19.0,1207,257.495814
-21.0,855,261.718183
-21.0,885,264.536547
-21.0,1002,269.534883
-20.0,931,274.404472
-21.0,914,278.988237
-21.0,910,283.642701
-20.0,987,288.56379
-21.0,820,292.501111
-21.0,824,295.102822
-21.0,792,298.982306
-21.0,852,303.261844
-21.0,826,307.314093
-21.0,884,311.690623
-21.0,944,316.348164
-21.0,884,320.731404
-21.0,812,324.747142
-21.0,825,327.398955
-21.0,854,331.653899
-21.0,1093,337.172382
-20.0,1143,342.94146
-21.0,946,347.737406
-21.0,824,351.902982
-21.0,804,354.446067
-21.0,964,359.216955
-21.0,792,363.125679
-21.0,884,367.489593
-20.0,1091,373.044534
-21.0,826,377.105314
-21.0,942,381.74358
-21.0,884,386.127755
-20.0,1019,389.66726
-21.0,1026,394.662032
-21.0,971,399.779997
-21.0,842,403.906456
-21.0,943,408.483614
-21.0,1065,413.748132
-21.0,1022,417.21686
-21.0,824,421.276439
-21.0,826,425.349185
-20.0,1128,430.904408
-21.0,782,434.789464
-21.0,764,438.503951
-21.0,1004,443.380062
-21.0,946,448.021372
-20.0,1037,452.085033
-21.0,853,456.538765
-21.0,1055,461.83073
-21.0,885,466.425198
-21.0,1249,472.731957
-20.0,1042,478.515577
-21.0,932,481.815073
-19.0,1246,488.544118
-21.0,824,492.589178
-21.0,972,497.404439
-20.0,1039,502.550648
-21.0,912,507.11957
-21.0,1067,511.049489
-21.0,1068,516.349209
-19.0,1249,522.609068
-21.0,947,527.699436
-21.0,853,532.364235
-21.0,824,536.484288
-20.0,1243,541.336725
-19.0,1153,547.326647
-20.0,1160,553.155024
-21.0,843,557.490256
-21.0,970,562.482513
-21.0,1099,568.227397
-21.0,1029,571.964315
-20.0,856,576.311973
-21.0,853,581.144448
-17.0,1315,587.930802
-17.0,1130,593.50859
-20.0,1118,599.03105
-20.0,1085,603.006327
-20.0,837,607.138771
-20.0,939,611.905728
-20.0,1099,617.47106
-21.0,947,622.201237
-21.0,764,625.884076
-21.0,1067,631.23923
-21.0,824,633.864305
-19.0,1338,640.561986
-19.0,1053,645.788422
-21.0,1253,652.085395
-21.0,844,656.268878
-20.0,1045,661.603018
-21.0,1311,666.7293
-20.0,1062,671.998679
-20.0,1150,677.716465
-21.0,843,681.877635
-21.0,812,685.9734
-21.0,1006,690.92186
-20.0,944,695.182126
-20.0,901,700.87391
-20.0,1104,706.809504
-19.0,1024,712.198625
-19.0,937,716.985205
-21.0,943,721.804175
-21.0,881,724.831138
-21.0,946,729.618625
-20.0,1270,736.166321
-21.0,1092,741.567644
-21.0,1003,746.544686
-20.0,1018,751.666858
-20.0,1089,755.746848
-21.0,1095,761.262344
-21.0,872,765.640295
-20.0,1102,771.133272
-21.0,1001,776.252594
-20.0,898,780.750918
-20.0,1055,785.932028
-21.0,853,788.697051
-19.0,1266,795.148429
-19.0,1002,800.135668
