#{"t_start": 1764983017.8905473, "env_id": "ALE/Pong-v5"}
r,l,t
-21.0,920,1236.521881
-18.0,1091,1245.905174
-20.0,1115,1253.793663
-19.0,1240,1263.930897
-15.0,1634,1277.696533
-20.0,1115,1282.116975
-21.0,913,1286.936923
-19.0,1330,1293.541917
-21.0,824,1297.535878
-18.0,1529,1305.316623
-20.0,1098,1309.42634
-19.0,999,1314.414847
-18.0,1274,1320.894541
-19.0,1161,1326.644673
-19.0,1317,1333.205048
-21.0,1279,1339.585658
-20.0,1257,1344.461247
-20.0,1225,1350.524123
-15.0,1611,1358.83822
-21.0,1016,1363.870861
-19.0,1286,1370.283441
-16.0,1438,1376.085701
-13.0,1887,1386.136162
-20.0,1098,1391.841537
-18.0,1363,1398.991998
-19.0,1303,1404.203745
-18.0,1338,1411.324363
-17.0,1598,1420.457239
-20.0,1079,1426.370887
-17.0,1375,1432.538231
-20.0,950,1437.401012
-11.0,1970,1447.861305
-17.0,1529,1455.656337
-21.0,1242,1461.96225
-18.0,1381,1467.548389
-20.0,949,1472.425468
-15.0,1702,1481.054917
-18.0,1150,1486.770248
-18.0,1461,1494.123537
-18.0,1497,1500.568318
-16.0,1476,1508.326854
-19.0,1147,1514.249818
-18.0,1203,1520.390331
-15.0,1439,1526.18248
-19.0,1017,1531.364322
-16.0,1709,1540.603421
-19.0,1089,1546.202341
-17.0,1585,1554.264651
-19.0,1419,1559.925527
-18.0,1520,1567.623933
-15.0,1865,1577.09862
-18.0,1277,1583.59607
-17.0,1708,1590.784197
-13.0,1689,1599.267115
-15.0,1495,1606.936132
-12.0,2104,1617.720146
-15.0,1536,1624.404209
-18.0,1309,1631.354253
-18.0,1245,1638.056038
-15.0,1341,1645.191023
-20.0,1431,1651.526282
-17.0,1172,1657.937487
-15.0,1835,1667.630314
-19.0,1343,1674.412458
-16.0,1657,1681.428747
-15.0,1933,1691.342319
-17.0,1423,1699.369807
-15.0,1483,1707.28591
-20.0,898,1710.303157
-16.0,1737,1720.35028
-18.0,1341,1727.826377
-16.0,1857,1737.456259
-16.0,1647,1744.915954
-17.0,1517,1752.956245
-17.0,1804,1762.544402
-19.0,1397,1770.090611
-17.0,1506,1776.757269
-16.0,1514,1784.805932
-13.0,1658,1793.719339
-18.0,1575,1802.227447
-18.0,1381,1808.331337
-17.0,1413,1815.868206
-12.0,1960,1826.393262
-15.0,1729,1834.27735
-18.0,1264,1841.229285
-14.0,1717,1850.839278
-14.0,1698,1860.111565
-15.0,1592,1867.327706
-14.0,2027,1878.343878
-17.0,1395,1885.866811
-14.0,1623,1894.566638
-17.0,1593,1901.891244
-11.0,1995,1912.119211
-18.0,1295,1918.619101
-16.0,1737,1926.049505
-13.0,2029,1936.351196
-16.0,1639,1944.763029
-14.0,1839,1954.559977
-17.0,1448,1960.990037
-12.0,2083,1972.941278
-14.0,1801,1982.198369
-18.0,1404,1988.088728
-16.0,1654,1997.591947
-16.0,1442,2006.244314
-16.0,1730,2015.803643
-7.0,2574,2028.451667
-15.0,1612,2037.193467
-14.0,1513,2044.899721
-12.0,1834,2052.619149
-12.0,2113,2063.430409
-14.0,1790,2073.60692
-13.0,1835,2082.462063
-14.0,1803,2091.902484
-18.0,1416,2099.265397
-11.0,2114,2108.700207
-14.0,1926,2118.950094
-21.0,1103,2124.758813
-11.0,2420,2137.116928
-14.0,1789,2144.819046
-10.0,2325,2156.947705
-6.0,2323,2169.221935
-3.0,2682,2181.67484
-17.0,1625,2189.894482
-12.0,2137,2201.744795
-13.0,1870,2209.956072
-11.0,1977,2220.166731
-11.0,1772,2229.354716
-9.0,2181,2238.922059
-10.0,2219,2250.114432
-10.0,2355,2262.140288
-10.0,2188,2271.809353
-10.0,2071,2282.335943
-14.0,1600,2290.332742
-7.0,2676,2302.426237
-12.0,1847,2312.123318
-5.0,2607,2325.192571
-7.0,2305,2337.061138
