#{"t_start": 1764983017.9908805, "env_id": "ALE/Pong-v5"}
r,l,t
-21.0,826,2.931997
-21.0,792,4.028313
-21.0,883,5.347518
-21.0,764,6.522817
-21.0,973,7.899205
-21.0,868,9.165065
-21.0,782,10.340135
-21.0,844,11.645004
-21.0,825,12.829102
-21.0,885,14.277181
-21.0,839,15.575731
-21.0,1007,15.667141
-21.0,944,17.137101
-21.0,882,18.542212
-21.0,852,21.439045
-21.0,853,25.785249
-21.0,914,30.386656
-20.0,932,34.99137
-20.0,837,39.030599
-21.0,764,42.618433
-20.0,898,47.194942
-21.0,915,50.230945
-20.0,951,54.760657
-21.0,792,58.48116
-20.0,1152,64.118697
-21.0,854,68.320127
-21.0,886,72.683302
-19.0,1077,77.91483
-21.0,932,80.945385
-21.0,844,84.94057
-20.0,977,89.652019
-20.0,906,93.955565
-21.0,853,98.035027
-21.0,811,101.986162
-21.0,764,105.692609
-21.0,792,107.953547
-19.0,1245,113.884092
-21.0,881,118.144163
-21.0,793,121.949936
-21.0,969,126.762085
-21.0,783,130.550033
-21.0,872,134.846247
-20.0,1028,139.894554
-20.0,889,142.892115
-21.0,843,146.988042
-21.0,843,151.085336
-21.0,845,155.194877
-21.0,764,158.886919
-21.0,842,163.031791
-19.0,1098,168.362719
-21.0,938,171.571764
-20.0,1051,176.742489
-21.0,852,180.964883
-21.0,1029,185.864861
-21.0,967,190.553305
-21.0,913,195.014739
-21.0,811,198.88185
-21.0,884,201.646069
-21.0,824,205.575176
-21.0,825,209.454657
-21.0,812,213.332624
-20.0,1145,218.858436
-21.0,960,223.523965
-20.0,1146,229.085341
-21.0,928,232.281282
-21.0,783,236.01382
-21.0,792,239.76772
-21.0,1033,244.959665
-21.0,862,249.178196
-21.0,783,253.073426
-21.0,1013,258.110248
-20.0,938,262.669802
-21.0,946,265.880565
-20.0,907,270.491412
-21.0,944,275.498587
-21.0,1026,280.731833
-21.0,973,285.787834
-21.0,825,289.809565
-21.0,1002,293.251361
-21.0,975,298.042358
-20.0,884,302.416876
-21.0,920,306.962796
-20.0,1009,311.961356
-21.0,852,316.150971
-21.0,885,320.531773
-20.0,899,323.565876
-21.0,884,327.957889
-21.0,912,332.566437
-21.0,852,336.721711
-21.0,764,340.601098
-21.0,1008,345.624449
-20.0,879,350.048089
-21.0,903,354.546092
-21.0,1080,358.555074
-19.0,981,363.475246
-20.0,1141,369.165742
-21.0,884,373.604921
-21.0,936,378.234862
-21.0,964,383.131499
-21.0,914,386.197958
-21.0,764,389.879132
-21.0,853,394.07357
-21.0,871,398.645552
-21.0,915,403.128192
-20.0,963,407.77558
-21.0,885,412.101038
-21.0,994,416.93843
-21.0,854,419.565211
-21.0,916,424.118872
-21.0,901,428.45696
-19.0,939,433.144065
-21.0,1034,438.232844
-21.0,993,443.073249
-21.0,826,447.162791
-20.0,949,450.695823
-19.0,934,455.469771
-21.0,764,459.300355
-21.0,972,464.512895
-20.0,982,469.412407
-20.0,917,474.242891
-21.0,1035,478.30481
-19.0,1278,485.164028
-21.0,1186,491.305102
-20.0,987,496.188277
-21.0,824,500.159761
-21.0,853,504.523071
-21.0,824,508.631747
-20.0,982,512.038776
-21.0,853,516.233381
-20.0,986,521.068712
-20.0,940,525.97115
-21.0,1095,532.071851
-21.0,1184,538.115969
-21.0,909,541.310662
-20.0,1077,546.78316
-21.0,933,551.545574
-19.0,1104,557.17478
-20.0,981,562.18039
-20.0,914,566.919378
-20.0,1006,570.599454
-21.0,962,575.386893
-21.0,824,579.842472
-21.0,1042,585.399076
-21.0,993,590.392899
-19.0,1089,595.731129
-21.0,852,599.976324
-21.0,852,602.728611
-21.0,885,607.115525
-18.0,1334,613.824518
-21.0,1142,619.573555
-21.0,1023,624.622302
-21.0,974,629.472395
-20.0,1241,634.318761
-20.0,1142,639.961537
-20.0,1354,646.804355
-20.0,865,651.050053
-21.0,965,655.788023
-21.0,852,660.043879
-21.0,946,663.316482
-19.0,1172,669.130259
-20.0,981,674.032305
-17.0,1304,680.617212
-21.0,1107,686.037911
-21.0,886,690.481872
-21.0,1195,696.428391
-21.0,905,701.854308
-20.0,958,707.101324
-21.0,998,712.188739
-21.0,1115,717.979103
-21.0,1121,723.576806
-20.0,870,726.594964
-21.0,1176,732.554445
-21.0,1274,739.098161
-21.0,1124,744.729562
-19.0,1181,750.59997
-20.0,1098,754.696681
-20.0,1080,759.992276
-21.0,903,764.536288
-21.0,905,769.009584
-21.0,942,773.733054
-21.0,997,778.666373
-20.0,1019,783.719629
-18.0,1361,789.24548
-20.0,1018,794.373125
-21.0,945,799.041573
-21.0,961,803.968422
-20.0,981,808.867177
-20.0,1373,815.654676
-21.0,1006,819.18851
-20.0,1065,824.389158
-21.0,1147,830.13296
-21.0,918,834.829708
-19.0,1149,840.762574
-20.0,981,845.670283
-21.0,1008,849.228237
-21.0,946,854.050913
-18.0,1379,861.131214
-21.0,942,865.805561
-20.0,905,870.336962
-21.0,932,874.992506
-21.0,1020,879.235865
-21.0,885,883.615621
-20.0,1190,889.630743
-21.0,964,894.551341
-20.0,1309,901.052062
-20.0,1017,906.245048
-18.0,1312,911.415945
-21.0,1065,916.873776
-21.0,1064,922.411783
-20.0,837,926.562209
-18.0,1414,933.731172
-20.0,1103,939.712248
-19.0,1040,943.869089
-19.0,1073,949.60516
-20.0,938,954.368587
-19.0,1201,960.610468
-21.0,913,965.321748
-20.0,893,972.191029
-20.0,1081,978.228836
-19.0,1058,983.760638
-21.0,1114,989.663966
-20.0,1028,995.380841
-19.0,1345,1001.34305
-20.0,890,1005.906428
-19.0,1375,1013.012805
-20.0,1212,1019.319747
-21.0,929,1024.014359
-19.0,1347,1031.028199
-20.0,1131,1035.35999
-19.0,1140,1041.315266
-18.0,1457,1049.302864
-18.0,1299,1057.009831
-19.0,1445,1063.430991
-21.0,852,1068.211397
-21.0,942,1073.50383
-14.0,1861,1087.714499
-21.0,764,1093.617178
-20.0,1227,1101.073225
-19.0,1408,1112.503938
-18.0,1141,1122.149146
-20.0,921,1127.951809
-20.0,1187,1138.225003
-19.0,1260,1149.007481
-20.0,1038,1156.812907
-21.0,1032,1164.214683
-21.0,974,1171.237263
-20.0,1065,1178.679436
-20.0,1061,1185.829951
-19.0,1491,1199.767308
-18.0,1393,1212.320423
-17.0,1350,1223.316752
-17.0,1423,1236.110236
-20.0,991,1244.52866
-16.0,1802,1258.140433
-18.0,1400,1270.519175
-19.0,1302,1278.312621
-18.0,1153,1284.271183
