#{"t_start": 1764983017.9974616, "env_id": "ALE/Pong-v5"}
r,l,t
-21.0,854,2.973173
-20.0,964,4.410491
-21.0,822,5.575912
-21.0,1037,7.136746
-21.0,848,8.315102
-20.0,1027,9.841131
-21.0,852,11.222297
-21.0,888,12.490518
-21.0,912,13.961067
-21.0,821,15.148462
-21.0,1026,15.339901
-19.0,1107,17.02734
-20.0,902,18.432815
-21.0,783,20.778276
-21.0,826,24.938245
-20.0,888,29.371564
-21.0,943,34.021316
-21.0,824,37.928432
-21.0,863,42.040546
-21.0,962,46.877228
-21.0,912,49.824855
-21.0,902,54.265239
-21.0,929,58.792511
-21.0,913,63.18053
-21.0,764,66.886923
-21.0,902,71.302407
-21.0,844,75.346269
-20.0,916,78.36053
-21.0,782,82.103175
-21.0,852,86.141907
-21.0,978,90.755594
-21.0,825,94.656059
-20.0,1046,99.692534
-21.0,826,103.642658
-20.0,931,108.107789
-21.0,764,110.275932
-21.0,825,114.19017
-21.0,764,117.905585
-21.0,792,121.761027
-21.0,903,126.173733
-21.0,783,130.095047
-21.0,901,134.577878
-21.0,783,138.428715
-21.0,974,141.808364
-20.0,903,146.201162
-21.0,830,150.239293
-21.0,792,154.09544
-21.0,793,157.919829
-21.0,792,161.746362
-20.0,837,165.72248
-21.0,820,169.821664
-21.0,821,172.364997
-21.0,885,176.713566
-18.0,1132,182.23164
-21.0,825,186.250629
-21.0,764,189.967511
-21.0,1060,195.00884
-21.0,793,198.789725
-21.0,783,201.015574
-21.0,912,205.333937
-20.0,965,210.090261
-21.0,960,214.668733
-21.0,824,218.665767
-21.0,885,222.949784
-21.0,843,227.006502
-21.0,863,231.129616
-21.0,973,234.488856
-21.0,792,238.238144
-21.0,942,242.751989
-21.0,930,247.322445
-19.0,1102,252.892585
-21.0,992,257.780886
-21.0,843,261.938956
-21.0,902,264.893467
-21.0,872,269.250054
-21.0,852,273.768785
-21.0,966,278.536843
-21.0,886,283.071653
-21.0,885,287.547409
-21.0,1088,292.937432
-21.0,888,295.843278
-21.0,914,300.339472
-21.0,820,304.319646
-21.0,964,309.090285
-20.0,1055,314.29023
-20.0,1044,319.48172
-21.0,947,324.115877
-21.0,764,326.3735
-21.0,915,331.035729
-21.0,1123,336.629662
-21.0,976,341.574355
-21.0,944,346.375423
-20.0,966,351.266038
-21.0,974,354.688958
-21.0,964,359.356959
-20.0,865,363.571884
-21.0,1006,368.552346
-21.0,820,372.570573
-21.0,916,377.108364
-21.0,1009,382.11123
-21.0,853,386.318709
-21.0,843,389.055586
-21.0,792,392.823836
-21.0,1000,398.159835
-21.0,1062,403.384792
-21.0,935,407.874838
-19.0,1139,413.448274
-19.0,1046,417.070574
-21.0,885,421.399551
-21.0,884,425.732416
-21.0,946,430.385039
-21.0,1182,436.267453
-21.0,1002,441.217263
-21.0,843,445.449526
-20.0,989,449.16135
-20.0,1226,455.572942
-21.0,852,459.927476
-21.0,1146,465.828665
-20.0,842,470.052832
-20.0,1039,475.693048
-21.0,824,478.552051
-21.0,852,482.911864
-21.0,764,487.126456
-21.0,946,491.954237
-21.0,792,495.861174
-21.0,904,500.30244
-21.0,966,505.100516
-20.0,1148,509.387859
-21.0,1098,514.804817
-21.0,935,519.451032
-21.0,984,524.492607
-20.0,1040,530.422058
-21.0,885,534.986332
-19.0,1163,539.459495
-21.0,962,544.284445
-21.0,958,549.171819
-21.0,934,554.030142
-21.0,853,558.273055
-21.0,922,563.097013
-20.0,964,568.006212
-21.0,905,571.113862
-20.0,865,575.479856
-21.0,849,580.229037
-20.0,1019,585.639986
-18.0,1328,592.259699
-20.0,1019,597.339742
-21.0,792,601.346852
-21.0,825,604.095011
-20.0,1001,609.082247
-21.0,782,612.947176
-20.0,977,617.840916
-21.0,1007,622.890882
-21.0,1360,629.63572
-21.0,992,633.092264
-21.0,940,637.806357
-21.0,912,642.367491
-21.0,1063,647.68375
-20.0,1050,653.029248
-21.0,1004,658.022902
-20.0,1096,663.520413
-21.0,1066,667.404691
-19.0,1113,672.854531
-21.0,1002,677.849901
-20.0,976,682.693208
-21.0,852,686.912116
-19.0,1045,692.223178
-21.0,1006,697.506222
-19.0,1165,704.150242
-20.0,921,709.024756
-21.0,1002,714.198951
-21.0,976,719.239566
-20.0,1299,724.352781
-21.0,1004,729.404573
-19.0,1622,737.826437
-21.0,1037,742.950549
-21.0,1060,748.307173
-21.0,932,752.885168
-20.0,1243,757.704639
-20.0,946,762.473994
-21.0,1087,767.95802
-20.0,1385,774.952294
-21.0,985,779.954546
-21.0,1000,784.93854
-20.0,1097,789.068424
-20.0,1228,795.233033
-20.0,999,800.278139
-21.0,1006,805.389348
-20.0,1207,811.427475
-21.0,1004,816.455833
-20.0,1053,820.251578
-20.0,1248,826.474362
-18.0,1194,832.354859
-17.0,1313,839.168123
-19.0,1302,845.770481
-20.0,1150,850.072778
-20.0,939,854.864883
-21.0,932,859.54737
-19.0,1135,865.245628
-18.0,1193,871.286417
-21.0,1249,877.878704
-17.0,1393,883.775162
-21.0,824,887.88983
-20.0,1047,893.101532
-21.0,885,897.506595
-21.0,1262,903.897403
-18.0,1300,909.161041
-21.0,845,913.497527
-17.0,1465,921.100351
-20.0,981,925.981085
-20.0,951,930.81632
-21.0,942,935.995784
-21.0,952,940.717991
-20.0,1324,946.565698
-19.0,1055,952.278543
-18.0,1131,958.180979
-21.0,946,963.004366
-18.0,1094,968.995079
-20.0,996,976.39159
-19.0,1307,983.549762
-21.0,933,988.323227
-18.0,1277,995.468944
-21.0,824,1000.034362
-20.0,1184,1004.74884
-15.0,1393,1011.946167
-20.0,1098,1017.65826
-20.0,983,1022.720434
-16.0,1475,1030.244058
-21.0,985,1033.912865
-20.0,1128,1039.621131
-19.0,1054,1045.051382
-18.0,1254,1052.542346
-20.0,1213,1059.245424
-20.0,1086,1063.610567
-20.0,1214,1070.557843
-19.0,1204,1078.231951
-18.0,1250,1087.990687
-20.0,1044,1094.407838
-19.0,1051,1102.251405
-21.0,1085,1111.146722
-19.0,1128,1120.668057
-21.0,932,1126.573907
-17.0,1360,1138.217849
-20.0,991,1146.600946
-20.0,1037,1155.777372
-19.0,1142,1163.014009
-15.0,1530,1173.654708
-17.0,1268,1182.791358
-18.0,1279,1193.121819
-18.0,1424,1206.016315
-19.0,997,1215.361138
-20.0,1010,1223.18414
-18.0,1219,1234.000785
-19.0,1091,1243.488415
-18.0,1179,1251.874319
-18.0,1596,1265.468586
-20.0,1288,1276.302165
-19.0,1088,1280.823408
-17.0,1269,1287.402164
-19.0,976,1292.22482
-15.0,1622,1300.352365
-19.0,1261,1306.719376
-20.0,957,1310.157423
-16.0,1432,1317.34581
-20.0,1330,1324.005299
-20.0,1051,1329.232873
-19.0,1102,1334.644834
-18.0,1424,1340.333161
-18.0,1299,1346.827045
-20.0,889,1351.211687
-16.0,1536,1359.14929
-20.0,978,1364.010799
-18.0,1356,1370.834444
-16.0,1435,1376.607267
-18.0,1438,1384.17996
-18.0,1401,1391.647691
-18.0,1184,1397.972137
-17.0,1572,1404.619906
-20.0,1111,1410.640803
-21.0,1164,1416.992045
-18.0,1190,1423.925772
-20.0,1113,1429.678115
-17.0,1388,1435.791292
-16.0,1396,1443.32269
-19.0,1310,1450.034724
-16.0,1582,1458.137797
-19.0,1181,1462.660642
-21.0,1054,1468.017482
-19.0,1197,1473.953381
-18.0,1550,1481.705346
-19.0,1065,1487.005621
-21.0,853,1491.282651
-20.0,956,1494.710346
-20.0,1303,1501.645397
-18.0,1642,1510.4429
-19.0,1356,1517.45935
-18.0,1394,1524.606441
-19.0,1240,1529.33767
-19.0,1209,1535.784153
-19.0,1180,1542.094555
-19.0,1315,1548.758131
-15.0,1573,1555.154387
-19.0,1479,1562.628898
-18.0,1299,1569.257049
-16.0,1631,1577.483015
-20.0,1260,1583.845477
-14.0,1674,1590.772521
-16.0,1576,1598.754668
-17.0,1664,1607.192208
-17.0,1316,1613.859828
-16.0,1984,1622.834821
-18.0,1582,1631.248749
-15.0,1712,1640.4543
-18.0,1212,1647.087108
-17.0,1216,1652.199151
-17.0,1543,1660.459893
-18.0,1364,1667.507642
-18.0,1753,1676.483531
-17.0,1626,1683.326074
-16.0,1508,1691.133167
-18.0,1434,1699.174813
-21.0,1170,1705.36908
-16.0,2049,1714.843509
-18.0,1690,1724.673885
-15.0,1450,1732.450505
-19.0,1130,1738.327966
-18.0,1333,1744.182001
-17.0,1413,1751.538184
-18.0,1326,1758.598768
-14.0,1853,1768.599812
-16.0,1476,1775.166722
-17.0,1547,1783.543679
-20.0,1307,1790.496827
-17.0,1399,1798.105241
-15.0,1908,1806.996457
-15.0,1535,1815.336413
-16.0,1676,1824.260844
-17.0,1790,1832.605388
-15.0,1610,1841.308156
-16.0,1912,1851.948437
-19.0,1762,1861.652282
-18.0,1247,1866.831407
-13.0,1841,1876.792824
-14.0,1601,1885.504911
-14.0,1934,1894.387646
-15.0,1743,1903.881626
-19.0,1247,1910.254233
-17.0,1170,1916.185615
-15.0,1751,1925.19534
-19.0,1155,1929.462131
-14.0,1780,1938.638423
-19.0,1261,1945.075634
-14.0,1585,1953.58355
-15.0,1616,1960.913746
-17.0,1481,1969.324293
-9.0,2117,1980.749778
-12.0,2512,1992.988906
-14.0,1935,2004.493416
-15.0,1743,2014.204086
-13.0,1741,2022.127484
-15.0,1571,2031.218568
-15.0,2066,2041.892853
-17.0,1371,2047.422657
-14.0,1927,2057.17669
-11.0,2190,2068.444518
-10.0,2189,2079.973099
-8.0,2426,2092.863352
-13.0,1801,2102.226743
-12.0,2147,2111.953493
-12.0,1933,2122.472458
-15.0,1557,2130.485219
-9.0,2191,2140.214401
-9.0,2102,2150.99352
-12.0,1767,2160.310109
-15.0,1748,2169.477401
-14.0,1882,2177.767842
-17.0,1307,2184.511788
-8.0,2499,2198.064647
-13.0,2105,2207.445609
-14.0,1799,2216.759251
-6.0,2501,2229.654166
-11.0,2007,2238.209303
-14.0,2105,2248.96125
-12.0,1866,2258.40791
-9.0,2244,2268.361634
-13.0,2087,2278.931876
-17.0,1285,2285.442446
-15.0,1525,2293.021374
-7.0,2827,2305.866775
-15.0,1540,2314.136139
-10.0,2629,2327.465158
-16.0,1482,2334.971921
-7.0,2588,2348.255364
-9.0,2155,2358.170243
4.0,3044,2374.131392
-11.0,2103,2386.528361
-1.0,3464,2403.412822
-11.0,1800,2412.490523
-13.0,1913,2420.510758
-17.0,1746,2429.234737
-8.0,2313,2440.929103
-5.0,2525,2452.026494
-10.0,1804,2461.61809
-2.0,3030,2477.340037
2.0,2771,2490.488272
-6.0,2591,2504.004716
-7.0,2573,2515.619934
-9.0,2259,2527.043831
-7.0,2705,2539.436976
-7.0,2610,2552.591462
-2.0,3039,2568.115841
-5.0,2429,2578.800671
-1.0,2910,2593.40267
-2.0,2934,2606.713017
6.0,2771,2621.05437
11.0,2475,2632.023918
-6.0,2834,2646.445438
-10.0,2126,2658.005665
6.0,2496,2669.111393
4.0,3002,2685.182699
2.0,3266,2700.588511
-6.0,2532,2713.625678
8.0,3202,2728.578969
-5.0,2527,2741.457975
4.0,3129,2755.889218
-1.0,2869,2770.529346
-5.0,2915,2785.387224
3.0,2868,2798.312635
-9.0,2387,2810.524001
2.0,2992,2824.454833
-3.0,2538,2837.361722
4.0,2555,2849.145249
-6.0,2601,2862.408282
4.0,2643,2875.871512
5.0,2812,2888.650339
-6.0,2651,2902.069168
5.0,2546,2913.698076
8.0,2633,2927.392411
11.0,2634,2939.322698
6.0,2914,2954.290581
3.0,2704,2968.125736
8.0,3029,2981.933588
5.0,2800,2996.684537
16.0,2399,3007.663462
10.0,2921,3022.920797
12.0,2409,3035.065806
8.0,2751,3053.086017
9.0,2264,3064.414408
7.0,2496,3078.014506
5.0,2643,3092.35058
9.0,2389,3103.315935
11.0,2337,3115.528934
10.0,2604,3127.733307
12.0,2553,3141.005829
13.0,2807,3154.233972
12.0,2388,3167.629108
12.0,2579,3183.494566
11.0,2580,3195.780459
9.0,2472,3208.431408
4.0,3222,3223.236286
11.0,2262,3234.94252
11.0,2283,3245.91152
10.0,2460,3258.876099
7.0,2744,3272.848325
13.0,2347,3283.5118
9.0,2533,3296.509654
11.0,2173,3307.618502
10.0,2755,3320.15197
6.0,2493,3333.11037
11.0,2866,3346.512013
11.0,2280,3358.478279
10.0,2730,3370.853234
12.0,2875,3386.739149
14.0,2809,3400.222661
7.0,3281,3417.109166
13.0,2645,3430.605448
10.0,2748,3443.33825
11.0,2853,3458.970817
11.0,2805,3472.541517
10.0,2613,3487.861704
14.0,2748,3501.745978
15.0,3111,3518.372183
7.0,2726,3531.491493
8.0,2679,3545.314185
11.0,2696,3557.591267
13.0,2403,3569.934809
14.0,2758,3582.828023
5.0,3023,3598.534283
14.0,3037,3614.477863
17.0,2842,3627.566693
