A.L.E: Arcade Learning Environment (version 0.11.2+ecc1138)
[Powered by Stella]
Episode   79/500 | return=  0.00 | len=  50 | eps=0.799 | loss=0.00000
Episode   80/500 | return=  0.00 | len=  50 | eps=0.797 | loss=0.00000
Episode   81/500 | return=  0.00 | len=  50 | eps=0.795 | loss=0.00000
Episode   82/500 | return=  0.00 | len=  50 | eps=0.793 | loss=0.00000
Episode   83/500 | return=  0.00 | len=  50 | eps=0.790 | loss=0.00000
Episode   84/500 | return=  0.00 | len=  50 | eps=0.788 | loss=0.00000
Episode   85/500 | return=  0.00 | len=  50 | eps=0.786 | loss=0.00000
Episode   86/500 | return=  0.00 | len=  50 | eps=0.784 | loss=0.00000
Episode   87/500 | return=  0.00 | len=  50 | eps=0.781 | loss=0.00000
Episode   88/500 | return=  0.00 | len=  50 | eps=0.779 | loss=0.00000
Episode   89/500 | return=  0.00 | len=  50 | eps=0.777 | loss=0.00000
Episode   90/500 | return=  0.00 | len=  50 | eps=0.775 | loss=0.00000
Episode   91/500 | return=  0.00 | len=  50 | eps=0.773 | loss=0.00000
Episode   92/500 | return=  0.00 | len=  50 | eps=0.771 | loss=0.00000
Episode   93/500 | return=  0.00 | len=  50 | eps=0.768 | loss=0.00000
Episode   94/500 | return=  0.00 | len=  50 | eps=0.766 | loss=0.00000
Episode   95/500 | return=  0.00 | len=  50 | eps=0.764 | loss=0.00000
Episode   96/500 | return=  0.00 | len=  50 | eps=0.762 | loss=0.00000
Episode   97/500 | return=  0.00 | len=  50 | eps=0.760 | loss=0.00000
Episode   98/500 | return=  0.00 | len=  50 | eps=0.758 | loss=0.00000
Episode   99/500 | return=  0.00 | len=  50 | eps=0.756 | loss=0.00000
Episode  100/500 | return=  0.00 | len=  50 | eps=0.753 | loss=0.00001
  Eval over 5 eps: mean_return=0.00 ± 0.00
Episode  101/500 | return=  0.00 | len=  50 | eps=0.751 | loss=0.00000
Episode  102/500 | return=  0.00 | len=  50 | eps=0.749 | loss=0.00000
Episode  103/500 | return=  0.00 | len=  50 | eps=0.747 | loss=0.00000
Episode  104/500 | return=  0.00 | len=  50 | eps=0.745 | loss=0.00000
Episode  105/500 | return=  0.00 | len=  50 | eps=0.743 | loss=0.00000
Episode  106/500 | return=  0.00 | len=  50 | eps=0.741 | loss=0.00000
Episode  107/500 | return=  0.00 | len=  50 | eps=0.739 | loss=0.00000
Episode  108/500 | return=  0.00 | len=  50 | eps=0.737 | loss=0.00000
Episode  109/500 | return=  0.00 | len=  50 | eps=0.735 | loss=0.00000
Episode  110/500 | return=  0.00 | len=  50 | eps=0.733 | loss=0.00000
Episode  111/500 | return=  0.00 | len=  50 | eps=0.731 | loss=0.00000
Episode  112/500 | return=  0.00 | len=  50 | eps=0.729 | loss=0.00000
Episode  113/500 | return=  0.00 | len=  50 | eps=0.727 | loss=0.00000
Episode  114/500 | return=  0.00 | len=  50 | eps=0.724 | loss=0.00000
Episode  115/500 | return=  0.00 | len=  50 | eps=0.722 | loss=0.00000
Episode  116/500 | return=  0.00 | len=  50 | eps=0.720 | loss=0.00000
Episode  117/500 | return=  0.00 | len=  50 | eps=0.718 | loss=0.00000
Episode  118/500 | return=  0.00 | len=  50 | eps=0.716 | loss=0.00000
Episode  119/500 | return=  0.00 | len=  50 | eps=0.714 | loss=0.00000
Episode  120/500 | return=  0.00 | len=  50 | eps=0.712 | loss=0.00000
Episode  121/500 | return=  0.00 | len=  50 | eps=0.710 | loss=0.00000
Episode  122/500 | return=  0.00 | len=  50 | eps=0.708 | loss=0.00000
Episode  123/500 | return=  0.00 | len=  50 | eps=0.706 | loss=0.00000
Episode  124/500 | return=  0.00 | len=  50 | eps=0.705 | loss=0.00000
Episode  125/500 | return=  0.00 | len=  50 | eps=0.703 | loss=0.00000
  Eval over 5 eps: mean_return=0.00 ± 0.00
Episode  126/500 | return=  0.00 | len=  50 | eps=0.701 | loss=0.00000
Episode  127/500 | return=  0.00 | len=  50 | eps=0.699 | loss=0.00000
Episode  128/500 | return=  0.00 | len=  50 | eps=0.697 | loss=0.00000
Episode  129/500 | return=  0.00 | len=  50 | eps=0.695 | loss=0.00000
Episode  130/500 | return=  0.00 | len=  50 | eps=0.693 | loss=0.00000
Episode  131/500 | return=  0.00 | len=  50 | eps=0.691 | loss=0.00000
Episode  132/500 | return=  0.00 | len=  50 | eps=0.689 | loss=0.00001
Episode  133/500 | return=  0.00 | len=  50 | eps=0.687 | loss=0.00000
Episode  134/500 | return=  0.00 | len=  50 | eps=0.685 | loss=0.00000
Episode  135/500 | return=  0.00 | len=  50 | eps=0.683 | loss=0.00000
